MID,wc_self,wc_target,wc_intercept,Overlap_score,IOS_score,IOS_group
2,2,0,0,0.0,5,HighIOS
3,14,10,1,0.043478260869565216,2,LowIOS
5,2,0,0,0.0,2,LowIOS
8,0,2,0,0.0,7,HighIOS
9,4,0,0,0.0,1,LowIOS
11,4,15,1,0.05555555555555555,2,LowIOS
13,7,6,0,0.0,6,HighIOS
17,15,12,3,0.125,3,LowIOS
22,4,15,4,0.26666666666666666,6,HighIOS
28,28,0,0,0.0,4,Neither
29,1,0,0,0.0,7,HighIOS
32,6,8,0,0.0,3,LowIOS
37,2,0,0,0.0,1,LowIOS
41,2,14,2,0.14285714285714285,3,LowIOS
42,13,15,3,0.12,6,HighIOS
43,28,18,6,0.15,1,LowIOS
45,0,10,0,0.0,2,LowIOS
46,12,4,0,0.0,3,LowIOS
48,12,11,3,0.15,5,HighIOS
50,14,7,0,0.0,3,LowIOS
54,46,21,4,0.06349206349206349,2,LowIOS
64,16,0,0,0.0,5,HighIOS
67,13,11,0,0.0,1,LowIOS
69,4,10,1,0.07692307692307693,6,HighIOS
70,18,0,0,0.0,3,LowIOS
72,17,15,1,0.03225806451612903,3,LowIOS
73,8,4,1,0.09090909090909091,5,HighIOS
74,0,2,0,0.0,7,HighIOS
76,7,4,3,0.375,3,LowIOS
77,0,1,0,0.0,5,HighIOS
78,16,8,3,0.14285714285714285,2,LowIOS
81,11,15,2,0.08333333333333333,3,LowIOS
82,15,18,2,0.06451612903225806,7,HighIOS
83,32,15,2,0.044444444444444446,3,LowIOS
84,2,0,0,0.0,5,HighIOS
85,7,7,0,0.0,5,HighIOS
86,12,11,1,0.045454545454545456,2,LowIOS
87,15,17,3,0.10344827586206896,2,LowIOS
88,0,5,0,0.0,1,LowIOS
91,34,28,5,0.08771929824561403,2,LowIOS
92,9,10,0,0.0,7,HighIOS
93,8,11,2,0.11764705882352941,1,LowIOS
95,49,42,17,0.22972972972972974,7,HighIOS
96,2,0,0,0.0,7,HighIOS
98,15,7,1,0.047619047619047616,7,HighIOS
99,10,9,3,0.1875,2,LowIOS
100,10,12,2,0.1,3,LowIOS
103,23,24,7,0.175,7,HighIOS
104,16,5,3,0.16666666666666666,1,LowIOS
105,0,17,0,0.0,7,HighIOS
106,7,1,1,0.14285714285714285,3,LowIOS
107,2,0,0,0.0,4,Neither
110,2,1,0,0.0,2,LowIOS
113,10,8,1,0.058823529411764705,2,LowIOS
114,9,2,0,0.0,4,Neither
117,0,3,0,0.0,2,LowIOS
121,18,18,3,0.09090909090909091,4,Neither
123,5,0,0,0.0,7,HighIOS
124,0,2,0,0.0,7,HighIOS
127,1,5,0,0.0,4,Neither
130,13,8,0,0.0,2,LowIOS
131,17,3,1,0.05263157894736842,2,LowIOS
132,13,12,6,0.3157894736842105,4,Neither
134,2,0,0,0.0,4,Neither
137,15,19,3,0.0967741935483871,6,HighIOS
142,4,5,0,0.0,5,HighIOS
143,0,0,0,,7,HighIOS
144,9,8,2,0.13333333333333333,2,LowIOS
145,31,25,8,0.16666666666666666,4,Neither
146,21,15,7,0.2413793103448276,3,LowIOS
152,2,1,0,0.0,6,HighIOS
153,6,3,0,0.0,7,HighIOS
154,0,0,0,,5,HighIOS
155,0,1,0,0.0,3,LowIOS
156,13,9,1,0.047619047619047616,3,LowIOS
157,4,3,0,0.0,7,HighIOS
158,0,0,0,,7,HighIOS
162,2,0,0,0.0,7,HighIOS
163,10,7,2,0.13333333333333333,6,HighIOS
164,0,2,0,0.0,3,LowIOS
168,1,0,0,0.0,5,HighIOS
172,13,7,1,0.05263157894736842,5,HighIOS
173,1,0,0,0.0,5,HighIOS
174,5,11,0,0.0,5,HighIOS
176,9,9,4,0.2857142857142857,6,HighIOS
177,6,1,0,0.0,6,HighIOS
181,0,0,0,,6,HighIOS
182,19,38,6,0.11764705882352941,6,HighIOS
