MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,怒る,優しい,お人好し,仕事,抱え込む,チェック,細かい,基本,受け身,下手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,回答,ない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,仕事,ある,思う,それ,自分,やる,積極,家,する,一緒,出かける,先,人,接する,私,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,態度,悪い,感じ,悪い,新しい,する,人見知り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ミス,許す,人当たり,よい,言う,守る,考える,行動,する,行動,はやい,明るい,性格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,なる,会う,人,感じ,良い,仕事,休む,何,買う,入念,調べる,買う,自分,話しかける,する,人,会う,ない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,わたし,考える,笑顔,よい,社長,なる,意欲,誰,なる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,エピソード,ない,釣り,好き,魚,収穫,くれる,ある,思う,どちら,言える,エピソード,ない,交友,関係,広い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,だれ,好く,性格,子供,言える,どちら,ない,思う,いろいろ,積極,する,知る,人,平気,話せる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,弱い,優しい,子煩悩,妻子,優しい,主義,人,養う,スキル,ない,大事,判断,間違う,行動,ある,老若男女,誰,コミュニケーション,出来る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,自分,請負,責任,持つ,思う,周り,良い,見る,気,配る,思う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ある,ある,気分,ある,ある,酒,大好き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,余裕,ある,社交,ある,最後,通す,熟慮,する,リード,する,コミュニケーション,能力,高い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,よりけり,思う,どちら,考える,する,する,白黒,する,思う,伝える,する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ノリ,良い,思う,たま,会う,愚痴,こぼす,ある,慎重,言う,こ,委員,委員,する,料理,教室,参加,する,手芸,教室,参加,する,色々,人,かかわる,多い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,暴言,吐く,暴れる,恨み,もつ,働く,どちら,いえる,逃げる,心,開く,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,視野,狭い,一つ,考える,相手,仕事,営業,社交,面,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,自分,わがまま,気まぐれ,付き合う,他者,評判,良い,する,信頼,できる,軽はずみ,する,物おじ,する,友人,知り合い,おおい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,当たり,良い,友達,多い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ネガティブ,人見知り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,外面,いい,長男,人,いい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,夫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,狭量,ない,不可,ある,ない,ある,ぶん,軽率,消去,普通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,該当,ない,する,性格,思う,頼む,実行,できる,平気,感じ,とぼける,島内,誰,気さく,話しかける,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,穏やか,人柄,する,ガチガチ,なる,程度,責任,ある,思う,する,うっかり,する,半々,気分,積極,消極,ある,自分,いく,周り,やれる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,嘘,つく,本当,話す,嘘,つく,教える,知る,男性,交換,する,ある,聞く,決める,守る,配信,配信,する,社交,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,そこ,気に入る,ある,思う,コミュニケーション,能力,高い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,選ぶ,会話,こちら,遣る,対応,久しぶり,会う,お互い,距離,回答,同様,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
