MID,start,end,rt,self_sex,self_age,residence,participation,IOS_score,target_likedislike,target_sex,target_age,relationship,self_tolerance_score,self_pleasantness_score,self_responsibility_score,self_carefulness_score,self_activeness_score,self_sociability_score,target_tolerance_score,target_pleasantness_score,target_responsibility_score,target_carefulness_score,target_activeness_score,target_sociability_score,completion,stratumID
2,2023/05/19-12:49:10,2023/05/19-12:52:07,00:02:57,1,40,7,1,5,2,2,3,妻,5,1,6,6,2,2,5,5,3,3,3,4,COMP,5
3,2023/05/19-12:49:28,2023/05/19-12:55:05,00:05:37,2,40,23,1,2,2,1,3,夫,1,7,1,3,1,2,1,7,2,7,7,2,COMP,2
5,2023/05/19-12:54:24,2023/05/19-12:57:31,00:03:07,1,46,18,1,2,3,1,6,仲間,4,4,4,4,4,4,3,5,4,4,3,4,COMP,2
8,2023/05/19-12:57:23,2023/05/19-13:00:14,00:02:51,2,39,13,1,7,4,2,6,母,7,2,3,3,7,1,7,5,7,4,7,1,COMP,14
9,2023/05/19-12:55:51,2023/05/19-13:01:43,00:05:52,1,49,13,1,1,4,2,4,友人,3,4,2,5,3,5,3,2,2,4,3,5,COMP,8
11,2023/05/19-12:51:48,2023/05/19-13:02:26,00:10:38,2,55,27,1,2,3,1,5,夫,4,4,4,4,4,4,4,4,4,4,4,2,COMP,2
13,2023/05/19-12:59:47,2023/05/19-13:02:55,00:03:08,2,39,1,1,6,2,2,1,娘,3,6,1,6,4,3,5,4,5,7,5,4,COMP,6
17,2023/05/19-12:56:08,2023/05/19-13:06:05,00:09:57,2,36,11,1,3,2,1,3,友人,2,4,6,5,6,5,2,6,2,5,2,6,COMP,3
22,2023/05/19-12:56:46,2023/05/19-13:09:04,00:12:18,2,35,13,1,6,3,1,3,夫,4,4,1,7,2,4,5,4,1,7,6,1,COMP,6
28,2023/05/19-13:05:26,2023/05/19-13:13:17,00:07:51,1,43,23,1,4,3,2,4,妻,4,4,3,4,5,2,5,4,2,5,3,6,COMP,4
29,2023/05/19-13:11:29,2023/05/19-13:13:24,00:01:55,2,30,11,1,7,1,2,11,娘,4,4,4,4,4,4,5,4,4,5,4,4,COMP,7
32,2023/05/19-13:11:42,2023/05/19-13:15:00,00:03:18,2,47,14,1,3,1,1,5,彼,7,3,1,7,4,2,1,7,1,4,1,7,COMP,3
37,2023/05/19-13:14:09,2023/05/19-13:17:46,00:03:37,1,38,33,1,1,4,4,3,母,5,5,5,3,5,1,4,4,1,5,5,3,COMP,8
41,2023/05/19-13:09:15,2023/05/19-13:18:26,00:09:11,2,59,44,1,3,2,1,4,恋人,3,5,3,5,5,4,3,5,3,4,2,6,COMP,3
42,2023/05/19-13:06:19,2023/05/19-13:18:47,00:12:28,1,55,16,1,6,1,2,1,子,3,5,3,4,6,1,4,7,5,4,2,7,COMP,6
43,2023/05/19-13:02:30,2023/05/19-13:19:05,00:16:35,2,53,7,1,1,3,1,5,夫,4,6,1,6,6,4,3,4,5,3,2,5,COMP,1
45,2023/05/19-13:12:32,2023/05/19-13:19:21,00:06:49,1,52,13,1,2,3,2,3,友達,4,4,4,4,4,4,5,5,5,4,4,5,COMP,2
46,2023/05/19-13:13:18,2023/05/19-13:19:51,00:06:33,1,44,27,1,3,2,2,4,元カノ、元同僚,2,5,1,5,4,4,4,4,4,4,4,7,COMP,3
48,2023/05/19-13:14:52,2023/05/19-13:20:11,00:05:19,1,27,8,1,5,2,2,2,友達,3,4,3,6,3,5,2,5,2,6,3,7,COMP,5
50,2023/05/19-13:12:54,2023/05/19-13:20:44,00:07:50,1,46,13,1,3,1,2,3,妻,4,3,2,4,4,3,4,4,6,3,2,6,COMP,3
54,2023/05/19-13:08:59,2023/05/19-13:22:02,00:13:03,2,50,4,1,2,3,2,5,友達,6,4,4,6,4,4,4,4,4,3,4,6,COMP,2
64,2023/05/19-13:19:03,2023/05/19-13:25:31,00:06:28,2,42,14,1,5,2,2,7,母,1,7,1,5,4,5,1,7,1,5,4,5,COMP,5
67,2023/05/19-13:22:40,2023/05/19-13:28:08,00:05:28,2,41,11,1,1,4,1,4,夫,4,4,7,3,7,1,7,1,7,4,7,1,COMP,8
69,2023/05/19-13:22:13,2023/05/19-13:29:58,00:07:45,2,55,45,1,6,2,1,5,夫,4,4,4,4,7,1,5,4,3,4,3,5,COMP,6
