MID,IOS_score,IOS_group,wc_self,wc_target,wc_intercept,Overlap_score,word_vec_avg_self,word_vec_avg_target,_merge,euclidean_distance,manhattan_distance,cosine_similarity
3,2,LowIOS,1,3,0,0.0,"[-0.12244472  0.08506945  0.37974653  0.12219112  0.10913444  0.18157256
 -0.13434272 -0.14052261 -0.18542036 -0.08892633  0.18474734  0.16299258
 -0.10695881 -0.1731109   0.0533818  -0.00592784 -0.02220126  0.04389568
 -0.072359    0.2595782   0.08932277  0.27141142  0.08027203 -0.21480198
  0.19366497 -0.01224035  0.04764429 -0.14372903  0.14140534 -0.01805264
  0.09474239 -0.10040195  0.04303667  0.07761846 -0.00110483  0.18580177
 -0.16214636  0.17417412  0.26681262  0.04778054 -0.10799459 -0.01187478
 -0.14454536  0.03399004  0.00177313 -0.14411716  0.1756754  -0.00063019
 -0.02146375 -0.14493662]","[ 0.19716756 -0.0361397   0.15518795 -0.02085827  0.00215078  0.01746908
 -0.13127017 -0.03381338 -0.1382855  -0.11258322  0.18865246 -0.05099182
  0.14817333  0.16949753 -0.01407104  0.14002694  0.08414575 -0.23365515
 -0.08228105  0.04707398  0.17261942  0.17409302  0.10932177  0.0534677
  0.15476207 -0.04935857  0.17976229  0.11092245  0.1401469   0.08372059
  0.06885687  0.08550308 -0.01351813 -0.01966501 -0.10196063  0.17791311
 -0.09221813  0.15500855 -0.01456073 -0.03610567  0.04279502  0.07275512
  0.01962545  0.17653506  0.00826669  0.01357488  0.01466351  0.09566537
  0.11335858 -0.05730447]",both,1.0609046130625521,6.054018194787204,0.314
11,2,LowIOS,2,1,0,0.0,"[ 0.04351013  0.11613788  0.21674304  0.08341329  0.07195867  0.18767865
 -0.12916939 -0.14670487 -0.10535537 -0.03259728  0.11022964  0.03220978
 -0.13500139  0.03450419 -0.05840234 -0.06313511  0.12845364 -0.04022618
 -0.13234444  0.25098562  0.07376147  0.14733988  0.01194909 -0.10065079
  0.23283204 -0.03177971  0.1148528   0.01419932  0.12989861  0.01415115
  0.15726292  0.00048883  0.05631872  0.16504127 -0.03890806  0.1630117
 -0.12035561  0.11170849  0.11236466 -0.04055383 -0.06918223  0.06380434
 -0.06654398  0.14524478  0.089655   -0.06216344  0.05638846  0.03273078
 -0.11370895 -0.12398581]","[-0.13583325 -0.08001383  0.00602891  0.2042917   0.18690424  0.1730901
 -0.02478271 -0.21799855 -0.03220018 -0.00566214 -0.08954431 -0.1313608
 -0.16531429  0.14715785  0.225677    0.10503939 -0.25983444 -0.13925171
  0.25825626 -0.01394248  0.16905922  0.05117487 -0.03798842  0.14603168
  0.2075893   0.07047866  0.18685101  0.15259664 -0.01804198  0.08983599
  0.06005672 -0.00969054 -0.03578325 -0.171904   -0.29568776 -0.23353474
  0.24095228 -0.11611277  0.08886844 -0.07423999 -0.07844    -0.16337107
  0.0946814  -0.09977085  0.04951021  0.14313792 -0.01263601  0.13461275
 -0.01254557 -0.0777466 ]",both,1.2768419383123317,7.305904398672283,-0.003
13,6,HighIOS,2,2,0,0.0,"[ 0.19982255 -0.03531588  0.13910446  0.06704491 -0.03037599 -0.06590392
 -0.17704886 -0.16114995  0.01528785 -0.15921296  0.2251898  -0.15963323
  0.14039138 -0.00166648 -0.03422062  0.04910027  0.02340283 -0.04442506
 -0.10900279  0.03114393  0.26651293  0.07237016  0.03132439  0.04643137
  0.04466536  0.07547903  0.16577864  0.01493274 -0.02269288  0.11689466
  0.00073236 -0.09477969 -0.19823232  0.07199854  0.02131292  0.13489549
 -0.08435458  0.23758364 -0.04325935 -0.04287542  0.1680374   0.18481283
 -0.04781478  0.137703    0.18972214  0.12213288 -0.02441292  0.2523681
  0.0119153  -0.14261743]","[ 0.11387488 -0.01635743  0.12364909  0.02784892  0.02514801  0.12159336
  0.07997634 -0.14124154 -0.16436912 -0.19356339  0.1407219  -0.12726219
 -0.06792999  0.16403352  0.02591102  0.11495306 -0.04385858 -0.23399214
 -0.05882625 -0.07973691  0.08532345  0.24666293  0.02055    -0.08277165
  0.15064965  0.03589439  0.09181106  0.06917861  0.139055    0.04461776
  0.12385341  0.07723728 -0.00940082 -0.09343783  0.12803447  0.22489797
 -0.07488019  0.18973428  0.01662586  0.03008277  0.00893367  0.0161461
  0.07040583  0.06548809 -0.02237336 -0.08591062  0.09296636  0.16917036
  0.11550831 -0.09116647]",both,0.869715532217263,5.261780194938183,0.458
17,3,LowIOS,3,3,0,0.0,"[ 0.0156634   0.02954146  0.21260196  0.03222901  0.0189815   0.06436118
 -0.1862044  -0.17100766 -0.09431745 -0.11554942  0.16170573 -0.01898782
 -0.0381572  -0.03799951  0.05303963  0.04188802 -0.01336433 -0.0008933
 -0.12456131  0.21028747  0.09436832  0.20265698  0.08244339 -0.06283665
  0.08087113 -0.04782133  0.07295388 -0.01154197  0.10077973  0.01010986
  0.04352688 -0.03309678 -0.01111518  0.08566292  0.03395391  0.14665501
 -0.02263955  0.18299851  0.14165579 -0.02909732  0.0268934   0.04812086
 -0.01675149  0.11219746  0.0455597  -0.00398307  0.07313059  0.07767016
 -0.02078879 -0.04616126]","[ 0.06801441 -0.04085417 -0.0391719   0.10407487 -0.06410115  0.10966191
 -0.09429405  0.0395117  -0.04972489 -0.24296744  0.16209322 -0.00664353
  0.06145664  0.04655407 -0.07158061  0.09012148  0.08274169 -0.2928188
 -0.1928696   0.00499822  0.10865261  0.14127247  0.00761673 -0.06360299
  0.19868398  0.01340513  0.05641739  0.14718892  0.1982422   0.0098401
  0.1608399   0.0658604  -0.02267703  0.06962379 -0.0713907   0.1559239
 -0.09920584 -0.01740202  0.04424702 -0.10468924  0.0081004   0.05386661
  0.02757378  0.126563   -0.03526887 -0.01775707  0.02764875  0.12924163
  0.12840413 -0.13314229]",both,0.7313659961468657,4.003384280949831,0.481
32,3,LowIOS,2,1,0,0.0,"[ 0.14021084 -0.0647112   0.11865894 -0.03543545 -0.12486584 -0.00746035
 -0.156226   -0.05162315 -0.02739572 -0.09384292  0.2133364  -0.12722316
  0.1169      0.07177581 -0.0879436   0.06708911  0.05708496  0.01723969
 -0.11404084  0.09425733  0.23194835  0.02946036  0.11286645  0.08698234
  0.06344619  0.0542057   0.19904597  0.05763089  0.13525683  0.09074834
  0.1034364  -0.03692538 -0.10386771  0.03483493 -0.05191029  0.2017587
 -0.17951441  0.21600536  0.04180725 -0.16027904  0.07534055  0.15026361
 -0.0321987   0.10590604  0.08175999  0.04634922 -0.06305547  0.28918448
  0.07056842 -0.23790869]","[ 0.08164208 -0.05673673  0.0160316   0.11490613 -0.07643735  0.23101528
 -0.21541595 -0.04964126 -0.02252441 -0.30384126  0.10429795 -0.08114857
 -0.05578534  0.01943689  0.0423864   0.18284911 -0.04757769 -0.2536069
 -0.11392953  0.10633033  0.03276429  0.2742004  -0.0436663  -0.05836616
  0.23854461 -0.02830073  0.09252626  0.25187433  0.26135173  0.16477467
  0.32070333 -0.01359422  0.08160098  0.00297519 -0.02854565  0.16708669
 -0.0599878   0.20283264  0.00609462 -0.13121705 -0.0018957   0.15809298
  0.08782714  0.08552545 -0.22292846  0.01131504  0.07834955  0.14211082
 -0.04963992 -0.05372534]",both,0.9297402450898041,5.272175336256623,0.508
42,6,HighIOS,2,3,0,0.0,"[ 0.11581412  0.02395986  0.10044415  0.02692888 -0.05175832 -0.02297613
 -0.09678918 -0.28917253 -0.08759337 -0.12211271  0.03429773 -0.14066356
  0.07435476  0.13269624  0.10308452  0.07030993 -0.21407315 -0.03233589
 -0.07288499 -0.026361    0.06132546  0.12724182 -0.08928016 -0.01699932
  0.16655739 -0.04179491 -0.01003285  0.06098663 -0.0581461   0.14881963
 -0.06921218 -0.006578    0.01351462  0.07855579 -0.03771685  0.04742094
  0.04956851  0.2970929  -0.01504659  0.11449905  0.01913139  0.07312945
 -0.01832575  0.08108131  0.11646844  0.14791223  0.01430955  0.04982465
  0.06765599  0.08922283]","[-5.67349233e-02  1.70730595e-02  1.81729987e-01  1.08145677e-01
  6.08357377e-02  7.70400837e-02 -1.53544068e-01 -2.37335026e-01
 -2.09477488e-02 -9.42957401e-02  1.18836284e-01 -3.91924493e-02
 -5.66924624e-02  2.38456894e-02  6.34659976e-02  2.49440912e-02
 -1.05848558e-01 -4.33779322e-02 -4.09915335e-02  1.33139208e-01
  9.51047912e-02  1.61977068e-01  4.01719324e-02 -3.58917229e-02
  8.82512406e-02  4.46522720e-02  9.19724479e-02  6.50798827e-02
  6.80161342e-02  4.45659943e-02  1.46958733e-03 -4.94921170e-02
 -2.56050322e-02 -3.97212096e-02 -6.38378561e-02  6.62432536e-02
  1.65214781e-02  1.26958385e-01  1.18571855e-01 -1.11831734e-02
 -4.83843572e-02 -1.90593693e-02 -1.62161887e-04  1.51757477e-02
  5.74354641e-02  5.99897914e-02  4.02306505e-02  8.82072821e-02
  1.41114788e-02 -9.34958160e-02]",both,0.6244307967744056,3.7669967617839575,0.563
43,1,LowIOS,4,4,0,0.0,"[ 0.1035074  -0.06000677  0.08382103  0.11671808  0.03308326 -0.05069309
 -0.13420305 -0.11076672 -0.02556647 -0.23391488  0.15541135 -0.10349851
 -0.02800277  0.08276719 -0.02557432  0.01143562  0.04702912 -0.0888636
 -0.07990034 -0.08267867  0.08704899  0.11434206  0.01592684  0.02979141
  0.02342753  0.04782729  0.12283415  0.13630319  0.04052125  0.06702191
  0.03138375 -0.08238345 -0.18224284  0.01046884 -0.05142212  0.04386456
 -0.07932781  0.18432415 -0.0461176  -0.04317716  0.02627719  0.16298555
 -0.04138926  0.06910519  0.10101962  0.01802672  0.00122374  0.20632562
  0.0071819  -0.1848742 ]","[ 0.13889176 -0.04315122  0.23672804  0.01145524  0.04779951  0.07978994
 -0.06653197  0.00293703 -0.1087658  -0.17254627  0.15074798 -0.05309492
  0.01466699  0.04797839 -0.05745298  0.07026275  0.0299223  -0.14614084
 -0.04466845 -0.0059497   0.17101955  0.19257595  0.00698103 -0.03718089
  0.13943145 -0.02305131  0.10043037  0.00378115  0.12758328  0.12397939
  0.11745083  0.05126764 -0.11446879 -0.01574769 -0.02444511  0.11082144
 -0.1799757   0.21368337  0.0599757   0.03396429 -0.01225609  0.07336334
 -0.04001231  0.12702231  0.06618531 -0.04234271  0.03070062  0.21267033
  0.08664455 -0.1322402 ]",both,0.5089188683244266,3.0865345057100058,0.747
46,3,LowIOS,2,1,0,0.0,"[ 0.16719489  0.04601813  0.01053499  0.13635843 -0.00656241  0.0585511
 -0.173526   -0.20273782 -0.14273277 -0.15668072  0.03064189 -0.16828477
  0.11037128  0.06882614 -0.06573639 -0.03818128 -0.04250363 -0.10951294
 -0.05636432 -0.15702455  0.04809666  0.2782936   0.05755953 -0.08678826
 -0.03120393  0.04440216  0.11975679  0.02233292  0.05060431  0.1390123
 -0.03817047 -0.04063202 -0.15684755  0.06107949 -0.00711805  0.11546665
 -0.00089214  0.18483381  0.08042721 -0.02837173  0.00404159  0.08638803
  0.04873935  0.12157598  0.17725709 -0.03115599  0.00056528  0.14736235
  0.04577665 -0.06020121]","[ 0.24398603 -0.1514078   0.16373098 -0.06354639  0.08104122 -0.07381119
 -0.11665261 -0.11116776  0.16619968 -0.26303333  0.27073827 -0.05066886
  0.08329131  0.17852448 -0.21287394  0.03262505  0.14002095 -0.01154008
 -0.19923186  0.07246989  0.1416877  -0.03229486  0.17597467  0.13215294
 -0.04914743  0.03290263  0.06534871  0.11579873  0.12699342  0.12796487
  0.05481452 -0.09661083 -0.17007229 -0.12363435  0.00979133  0.09998839
 -0.1672427   0.1299909   0.04781116 -0.10936919  0.07969648  0.12450725
 -0.0241398   0.24360558  0.08454989  0.03216769 -0.15459701  0.2862786
  0.05111453 -0.28062776]",both,0.9385830962910638,5.481249265372753,0.455
48,5,HighIOS,1,1,0,0.0,"[-0.13583325 -0.08001383  0.00602891  0.2042917   0.18690424  0.1730901
 -0.02478271 -0.21799855 -0.03220018 -0.00566214 -0.08954431 -0.1313608
 -0.16531429  0.14715785  0.225677    0.10503939 -0.25983444 -0.13925171
  0.25825626 -0.01394248  0.16905922  0.05117487 -0.03798842  0.14603168
  0.2075893   0.07047866  0.18685101  0.15259664 -0.01804198  0.08983599
  0.06005672 -0.00969054 -0.03578325 -0.171904   -0.29568776 -0.23353474
  0.24095228 -0.11611277  0.08886844 -0.07423999 -0.07844    -0.16337107
  0.0946814  -0.09977085  0.04951021  0.14313792 -0.01263601  0.13461275
 -0.01254557 -0.0777466 ]","[ 2.24445701e-01  5.37152555e-05  1.14873715e-01  2.22847402e-01
  2.03208074e-01  5.22019938e-02  7.16401190e-02 -2.32455926e-03
  8.27485248e-02 -1.67491034e-01  9.22259390e-02  4.46160734e-02
 -1.04572929e-01  1.43792570e-01  4.71395850e-02  1.00655101e-01
 -6.71298951e-02 -3.37957233e-01 -1.30505310e-02 -2.44333357e-01
 -1.68139219e-01  5.27942218e-02 -2.47215014e-02 -2.82225847e-01
  3.88840288e-01 -2.72765085e-02  2.81177759e-02  6.52636364e-02
  2.21550744e-03  2.14399695e-01  1.57505721e-01  9.40646008e-02
 -1.79890454e-01  1.75830722e-02 -1.29021674e-01  1.20722257e-01
 -1.28081545e-01  1.99170589e-01 -7.93673024e-02  1.31175384e-01
 -1.60893843e-01  1.22254878e-01  5.62165715e-02  5.59185669e-02
  1.49143883e-03  4.61628195e-03  6.58103749e-02  1.22660920e-01
 -5.38918283e-03 -1.08160548e-01]",both,1.2763288730932834,7.232365170493722,0.185
50,3,LowIOS,2,1,0,0.0,"[ 0.19295347 -0.00096987  0.07093103 -0.06377773  0.16120747 -0.02227858
 -0.16504025 -0.12001312 -0.0305107  -0.10250255  0.12176301 -0.17141767
 -0.03067473  0.20563081 -0.11774018  0.1192923  -0.08580204  0.08251189
 -0.10072764  0.05526213 -0.05386245  0.14134969  0.11451143  0.01570433
 -0.02336834 -0.05130292  0.07890872  0.16069761  0.24541599 -0.11583744
 -0.06258055 -0.18892306 -0.0833438  -0.08989689 -0.05565315 -0.02090784
 -0.0036967   0.13932247  0.07325383 -0.05856951  0.14355119  0.14442176
 -0.03188278  0.18445742  0.21949172  0.05960383  0.06121144  0.25234908
 -0.05125962 -0.18462619]","[ 0.09471131 -0.15080763  0.27148923 -0.12604661 -0.06263269  0.09739046
  0.02101931 -0.08412249  0.01860595 -0.07090595 -0.08813129  0.16946119
  0.05380924  0.316393   -0.0797198  -0.24539888  0.26663712 -0.11484084
 -0.00946504  0.07232341  0.09501813  0.02922998 -0.20572376 -0.0821863
  0.2738227   0.23806998  0.09769845 -0.0019466   0.04616715  0.2158774
 -0.00933868 -0.01659506  0.01215805 -0.07829882 -0.01274246  0.1920937
  0.02515916  0.17412728  0.03133801  0.0767598  -0.2559052   0.23635371
  0.01074892 -0.31196916  0.02941172  0.0123848  -0.03448258 -0.00812868
  0.05546123  0.04645498]",both,1.3670561091430022,7.733221093192697,-0.08
