1,2,3,4,5,6,7,8,9,10,11
ない,,,,,,,,,,
ない,,,,,,,,,,
楽しい,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ない,普通,,,,,,,,,
軽率,苦手,,,,,,,,,
ない,仕方,ない,色々,,,,,,,
,,,,,,,,,,
苦手,そっけ,軽率,ない,,,,,,,
,,,,,,,,,,
いや,苦手,,,,,,,,,
ない,,,,,,,,,,
,,,,,,,,,,
や,慎重,,,,,,,,,
有能,辛い,安定,好き,,,,,,,
,,,,,,,,,,
若い,慎重,,,,,,,,,
積極,,,,,,,,,,
プライベート,面倒,,,,,,,,,
必死,ない,柔らかい,明るい,疑問,積極,積極,疑問,楽,好き,
優しい,積極,,,,,,,,,
広い,積極,,,,,,,,,
,,,,,,,,,,
重要,楽,,,,,,,,,
神経質,ない,無責任,積極,苦手,好き,,,,,
無責任,用心深い,多い,苦手,,,,,,,
,,,,,,,,,,
細かい,いい,人嫌い,,,,,,,,
,,,,,,,,,,
狭い,嫌い,ない,軽率,嫌い,,,,,,
いい,,,,,,,,,,
不快,必要,,,,,,,,,
同様,真剣,慎重,冷静,稀,好き,,,,,
ない,,,,,,,,,,
ない,積極,,,,,,,,,
過剰,,,,,,,,,,
広い,いい,積極,,,,,,,,
,,,,,,,,,,
狭い,悪い,真面目,新しい,ない,新しい,好き,広い,浅い,,
自分勝手,よい,面倒,,,,,,,,
厳しい,厳しい,,,,,,,,,
ない,当たり前,確か,いい,いい,良い,ない,十分,上手い,すごい,怖い
,,,,,,,,,,
,,,,,,,,,,
いい,ない,,,,,,,,,
良い,深い,,,,,,,,,
ない,,,,,,,,,,
ない,,,,,,,,,,
,,,,,,,,,,
優しい,ない,,,,,,,,,
真面目,,,,,,,,,,
ない,,,,,,,,,,
狭い,軽い,ない,ポジティブ,,,,,,,
普通,積極,,,,,,,,,
,,,,,,,,,,
悪い,面倒,適当,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
良い,,,,,,,,,,
嫌,よい,汚い,,,,,,,,
嫌い,,,,,,,,,,
穏やか,寛大,穏やか,優しい,慎重,大人しい,控えめ,,,,
ない,,,,,,,,,,
丁寧,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
かたい,,,,,,,,,,
面倒,良い,優しい,大変,最適,前向き,,,,,
高い,怖い,積極,億劫,,,,,,,
ない,ない,,,,,,,,,
些細,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
大切,よい,苦手,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ない,,,,,,,,,,
悪い,適当,新しい,慎重,好き,新しい,慎重,,,,
,,,,,,,,,,
,,,,,,,,,,
嫌,,,,,,,,,,
,,,,,,,,,,
好き,,,,,,,,,,
良い,大好き,,,,,,,,,
悪い,ない,慎重,,,,,,,,
,,,,,,,,,,
悪い,好き,,,,,,,,,
