1,2,3,4,5,6,7,8
,,,,,,,
優しい,細かい,下手,,,,,
,,,,,,,
ない,,,,,,,
,,,,,,,
積極,,,,,,,
悪い,悪い,新しい,,,,,
よい,はやい,明るい,,,,,
良い,ない,,,,,,
,,,,,,,
,,,,,,,
よい,,,,,,,
,,,,,,,
ない,好き,ない,広い,,,,
ない,いろいろ,積極,,,,,
弱い,優しい,優しい,ない,大事,,,
良い,,,,,,,
大好き,,,,,,,
高い,,,,,,,
よりけり,,,,,,,
良い,慎重,色々,多い,,,,
,,,,,,,
,,,,,,,
狭い,,,,,,,
,,,,,,,
気まぐれ,良い,軽はずみ,おおい,,,,
良い,多い,,,,,,
ネガティブ,,,,,,,
いい,いい,,,,,,
,,,,,,,
ない,ない,軽率,普通,,,,
ない,平気,気さく,,,,,
穏やか,ガチガチ,積極,,,,,
,,,,,,,
,,,,,,,
高い,,,,,,,
同様,,,,,,,
広い,程よい,おとなしい,おとなしい,おとなしい,,,
,,,,,,,
良い,きつい,純粋,良い,,,,
,,,,,,,
細い,狭い,,,,,,
広い,親しい,いい,厳しい,良い,良い,悪い,上手
,,,,,,,
多い,,,,,,,
正しい,ない,,,,,,
優しい,無理,自分勝手,嫌,多い,,,
悪い,,,,,,,
,,,,,,,
嫌,優しい,慎重,多い,,,,
ない,,,,,,,
,,,,,,,
,,,,,,,
真面目,軽い,,,,,,
,,,,,,,
,,,,,,,
柔軟,悪い,ない,ない,苦手,,,
,,,,,,,
ない,,,,,,,
ない,親しい,,,,,,
やさしい,いい,好き,いい,積極,明るい,,
,,,,,,,
優しい,寛大,優しい,おおらか,いい加減,控えめ,,
,,,,,,,
良い,おおい,好き,,,,,
ない,いい,,,,,,
,,,,,,,
,,,,,,,
広い,上手い,良い,上手い,慎重,前向き,,
ない,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
やさしい,几帳面,慎重,普通,,,,
,,,,,,,
,,,,,,,
,,,,,,,
新しい,強い,慎重,,,,,
ない,,,,,,,
,,,,,,,
優しい,優しい,苦手,,,,,
,,,,,,,
自分勝手,面倒くさい,,,,,,
普通,広い,良い,普通,普通,,,
,,,,,,,
,,,,,,,
良い,ずるい,無責任,大きい,悪い,嫌い,積極,
