MID,IOS_score,IOS_group,wc_self,wc_target,wc_intercept,Overlap_score,word_vec_avg_self,word_vec_avg_target,_merge,euclidean_distance,manhattan_distance,cosine_similarity
3,2,LowIOS,8,4,1,0.09090909090909091,"[ 0.11943819  0.05346557  0.07014093  0.0092559   0.00757681  0.05917012
 -0.02252721  0.03227792 -0.01654123 -0.09165571  0.08224817 -0.0204201
 -0.05905491  0.036072    0.06824551  0.05332461 -0.12269526 -0.08272762
 -0.04878053  0.07206137  0.06008499  0.09717816 -0.08540422  0.00100789
  0.04857723 -0.04677433  0.00259889 -0.11545166  0.04832782  0.09408497
  0.08298022 -0.03524834  0.00130946 -0.04928792  0.01555753  0.07267608
  0.04222654  0.09646353  0.13949074 -0.09654712  0.06721071  0.04121983
  0.0947534   0.11211645  0.0120015  -0.13710362  0.06229754  0.04941598
  0.07370028  0.05948359]","[ 0.02737059  0.05008292  0.14684474 -0.0249784   0.02006321  0.06344509
  0.10656478  0.03288209 -0.18092385 -0.140982    0.17013216 -0.08821035
 -0.0614828   0.14517349  0.01274544  0.12288204 -0.11637171 -0.05663057
  0.04753668  0.08247044  0.11081786  0.15473035 -0.0473724   0.04142179
 -0.02817387 -0.09351517  0.08178917  0.02851763  0.09074235 -0.01414661
  0.00924341 -0.0294978  -0.04766743 -0.04508562 -0.06411606  0.03723402
 -0.05879847  0.07587849  0.00636746 -0.17295125  0.12884971  0.21688342
 -0.00090562  0.127916    0.03939393 -0.13676438  0.04529719  0.1358054
 -0.00451907  0.02973052]",both,0.5204672780670357,2.9487658198922873,0.629
11,2,LowIOS,1,8,1,0.125,"[-0.02357543 -0.12109289  0.21683958 -0.10470498 -0.02780674  0.18816885
 -0.06049743  0.1990766  -0.15740454 -0.08758555  0.17240764 -0.18520595
 -0.00053861 -0.02642191 -0.02532048  0.04604429 -0.11309963 -0.11625817
 -0.03322859  0.03275709  0.20111175  0.10617385  0.2728842   0.02839231
  0.00653281  0.07680937  0.38744354 -0.07697719  0.11832739  0.04084815
  0.20609543 -0.09216656 -0.10687155 -0.00351854 -0.05359573  0.14197801
  0.10306429  0.04837767  0.17483161 -0.16859587 -0.03694757  0.2169894
  0.20413738  0.1029237   0.015654   -0.09768111  0.13266355  0.33344597
  0.12810093  0.03439637]","[ 0.09778938  0.02801418  0.19070491 -0.05482752  0.04950577  0.0824443
 -0.03202116  0.11882358  0.00482732 -0.11576854  0.13750973 -0.0955448
 -0.06065285  0.08644583 -0.06215727  0.03539467 -0.047112   -0.06844023
 -0.04066935  0.0820885   0.02958242  0.13498871  0.10098577  0.09382685
  0.03537911 -0.00636285  0.04723769 -0.03567052  0.12433675  0.13464886
  0.07950613 -0.07765616 -0.00161252 -0.03997239  0.07161902  0.04234031
  0.03379232  0.05086746  0.12891155 -0.15207548  0.00726129  0.14288424
  0.05514549  0.0934919  -0.00221672 -0.05182366  0.03945013  0.09572544
  0.07676762  0.02166584]",both,0.6982595036520847,3.752619568258524,0.731
13,6,HighIOS,3,1,0,0.0,"[ 0.00887019 -0.07493114  0.19292825 -0.0683879  -0.02672446  0.04449543
  0.02018604  0.09675032 -0.00241214 -0.16600522  0.2349705  -0.13314097
 -0.0714166   0.08606221 -0.01996248  0.11083289 -0.04422112 -0.12648693
 -0.02323636  0.1045187   0.12925173  0.16012195  0.14843538  0.08566512
 -0.05659876  0.06818303  0.16478637 -0.12585203  0.15852606  0.1728175
  0.12916146 -0.07967417 -0.01811732 -0.03566884  0.01443182  0.08564509
  0.00696415  0.07030975  0.10333019 -0.24692337  0.03751926  0.20616734
  0.0962713   0.09535509 -0.11200546 -0.1110035   0.17056394  0.08093768
  0.11226021 -0.03448094]","[ 0.24672021 -0.06143744  0.16993149 -0.07687747  0.05558301  0.02753201
 -0.175683    0.08750011  0.22222577  0.07154381  0.09564847 -0.12317405
 -0.13060243  0.03770212  0.28082556  0.1692334  -0.04691481 -0.18180163
 -0.04122092  0.16442035 -0.0677644   0.12410093  0.07442817  0.01689286
  0.1139841  -0.15380315 -0.14080691 -0.22655208 -0.07422159 -0.00884165
  0.03865473  0.00183062  0.08182188  0.07000706  0.17798492 -0.06557439
  0.2789305   0.18729834  0.28405175 -0.01879751 -0.15083645  0.15745954
 -0.01104161 -0.01166906  0.09763853 -0.1043129   0.2501988  -0.12637343
  0.13251466  0.2070322 ]",both,1.0612276760356452,6.097061218693852,0.32
17,3,LowIOS,7,7,3,0.2727272727272727,"[ 9.24505740e-02  7.80474022e-02  1.51948884e-01 -1.17795775e-02
 -5.05544506e-02  8.45757723e-02 -4.93361838e-02  2.09639192e-01
 -2.09793281e-02 -7.14764968e-02  7.00507984e-02 -4.42734994e-02
 -2.61898432e-02  1.19885327e-02  2.83718240e-02  6.70302063e-02
 -5.69508336e-02 -1.70214549e-01 -2.69994400e-02  4.63344380e-02
  6.69483542e-02  9.12877768e-02 -9.69754681e-02 -4.78587262e-02
  7.59045109e-02 -2.22044974e-03  8.36898480e-03 -1.12574764e-01
  1.93024166e-02  1.40772432e-01  4.06227745e-02  2.23913454e-02
  8.37743282e-05  2.64788838e-03 -7.29731168e-04  3.99479009e-02
  7.89018795e-02  1.98671278e-02  1.74372360e-01 -1.33503228e-01
 -5.46337990e-03  1.11359172e-01  7.61335939e-02  4.75900844e-02
  6.12784810e-02 -6.93120286e-02  1.49191648e-01  1.67929977e-02
  4.88977060e-02  7.29489923e-02]","[ 0.11519082  0.04175487  0.12056322  0.03701855  0.05169267  0.11077765
 -0.02624624  0.08396592 -0.04605407 -0.0660822   0.09670948 -0.13806814
 -0.05946578 -0.03644294  0.07985698  0.13000318 -0.09247712 -0.04799394
 -0.0834879   0.10395812  0.1429243   0.09744165 -0.12942159  0.01888977
  0.04174625 -0.01008034  0.04872704 -0.17589313 -0.05118672  0.06844594
  0.02986271 -0.03379931  0.00788979  0.0355583  -0.00226148  0.05709783
  0.04897475  0.13921806  0.1185459  -0.12461196  0.00439188  0.11633592
  0.11533813  0.06035069  0.09872463 -0.13874984  0.10910417  0.07643361
  0.04127863  0.10920858]",both,0.3763399860646841,2.1628428167896345,0.805
22,6,HighIOS,2,8,2,0.25,"[ 0.0311171   0.09546094  0.3110742   0.00359867 -0.06350283  0.19569153
  0.10698292  0.03897984  0.05855505 -0.21894819  0.12327564 -0.07193764
 -0.10536122  0.2042171  -0.00533576  0.142542   -0.04110829 -0.13224095
 -0.04320188  0.06239545 -0.06154715  0.06344406 -0.14105843 -0.05767621
 -0.04138361 -0.12759662  0.04424416 -0.09495754  0.051579    0.03659591
  0.02598384 -0.14105463  0.05843027 -0.04553328 -0.02431433  0.1766985
  0.07185192  0.19546372  0.05349079 -0.05091287 -0.09290084  0.2693911
 -0.0062504   0.17192349  0.05017388 -0.16472813  0.03738208  0.05442996
  0.19115147  0.09307558]","[ 0.11047471  0.06481349  0.2719891  -0.04820786  0.01028731  0.12287082
  0.09221692  0.1204036   0.00353042 -0.16771987  0.1031848  -0.12570412
 -0.12190522  0.09303702 -0.00754102  0.09552313 -0.0528907  -0.09316985
 -0.05641063  0.04601561 -0.0564739   0.15388213  0.01428538  0.07575258
 -0.02777579 -0.03173615  0.00187067 -0.06669282  0.08055703  0.11557736
  0.01220952 -0.08068813 -0.01701397 -0.04633877  0.01757688  0.04674922
  0.08814336  0.06099898  0.10789648 -0.16958524  0.01976608  0.21805838
  0.03166473  0.1601199   0.01073806 -0.1179473   0.07763889  0.05076621
  0.11685703 -0.00246225]",both,0.47394449542911954,2.713300877250731,0.823
32,3,LowIOS,3,2,0,0.0,"[ 0.13168286  0.07527168  0.16509624  0.00088672  0.11770001  0.01064991
 -0.0886462   0.04573869 -0.04898245 -0.05291777  0.09943143 -0.1320467
 -0.14344975  0.10800029  0.07307933  0.11360449 -0.03737326 -0.08944529
 -0.01993947  0.11432317 -0.03753787  0.12851724  0.12753592  0.04229068
 -0.04336672 -0.07855142 -0.02446192  0.01130633  0.00045739 -0.00827936
  0.01188292 -0.09185638  0.02459291 -0.04476329  0.0702053  -0.17043915
  0.0997967   0.05892561  0.15775545 -0.17958288 -0.05026129  0.18137878
  0.02937978  0.07850906  0.13263908 -0.06101599  0.11789109  0.08607621
  0.04709669  0.14932318]","[-0.03821314  0.02038004  0.26797616 -0.08678379 -0.07092759  0.14494179
  0.00990315  0.31188703 -0.03386221 -0.10584583 -0.05504456 -0.1429619
 -0.1342056   0.01008498  0.02177459  0.04687198 -0.13306852 -0.3479166
 -0.09844539  0.11296698 -0.04132895  0.06371313 -0.03355626 -0.09518271
  0.04130908  0.09034157  0.00956705 -0.19535612  0.02066289  0.15748006
  0.05627999 -0.00613015 -0.13573885  0.05621667  0.14326034  0.04002175
  0.07729311 -0.10086214  0.20622687 -0.1487904  -0.07002074  0.08019952
  0.11010063  0.02949872 -0.0569762  -0.06792632  0.2891837  -0.02476417
 -0.04886712  0.05746029]",both,0.8400787827616648,4.896667439490557,0.432
41,3,LowIOS,1,6,1,0.16666666666666666,"[-0.03734753 -0.05466823  0.31265944 -0.00449341  0.03958359  0.16749783
 -0.13692302  0.14937916  0.01848352 -0.04338321  0.1375627  -0.10518707
 -0.16941759  0.03471906  0.01744957 -0.02833961 -0.0231808  -0.3601391
 -0.16935681 -0.03000792  0.09308245 -0.09909897  0.00498509 -0.09462719
  0.20098676  0.06751413  0.17196307 -0.09514997  0.02668489  0.03713068
  0.15907523 -0.14021097 -0.23486748  0.10909158  0.1977745   0.12816857
  0.01158559  0.02445001  0.19286527 -0.13493143  0.00604797 -0.24513511
  0.14787212  0.02334056 -0.08940101 -0.02881082  0.38759336  0.12064353
 -0.10210352  0.02646941]","[ 0.01529957  0.00291899  0.14370401 -0.04526748  0.05312067  0.12823212
 -0.0824133   0.09518999 -0.03133545 -0.14123654  0.02885453 -0.04931255
 -0.12044407  0.07441161  0.00063407  0.02386266 -0.06713242 -0.12349117
 -0.06796383  0.01895209  0.03487713  0.07111876 -0.00431026 -0.00821512
  0.06121604 -0.00848021  0.11822615  0.03881275  0.06794959  0.10922242
  0.1250145  -0.0983465  -0.08931313  0.02096346  0.02416306  0.07935156
  0.03303552  0.03115145  0.04397087 -0.11927531 -0.04476859  0.00467761
  0.11648202  0.02834342 -0.0389159  -0.0821404   0.10023219  0.1285823
 -0.01190504  0.03798988]",both,0.7007768880115544,3.7859023343771696,0.744
42,6,HighIOS,6,6,2,0.2,"[-0.07756149 -0.02361875  0.09981506  0.03946763  0.11112577  0.08610195
  0.002608    0.04908389 -0.12558965 -0.10677218  0.06149825 -0.12368725
 -0.00453331  0.01463479 -0.01991351  0.01433598 -0.16883245 -0.11256479
 -0.04691813 -0.01831503  0.0517472  -0.03584952 -0.06516884 -0.12157942
 -0.05319798 -0.05768249  0.12178538 -0.10188    -0.03110263 -0.02193846
  0.07031022 -0.03620725 -0.11653321 -0.03115467 -0.08075698  0.08094148
  0.08739765  0.07020874 -0.03143183 -0.0880112  -0.05059598  0.14972088
  0.07286181  0.15147904  0.01136497 -0.02859248  0.1888473   0.05419444
  0.10750609  0.09588294]","[ 0.0526775  -0.03360146  0.22402845 -0.03262584 -0.02706818  0.10340516
 -0.01683546  0.16532236 -0.00135119 -0.13501377  0.122094   -0.09297609
 -0.06484002  0.00821075 -0.01030485 -0.00289738 -0.01161977 -0.08510216
 -0.08053871  0.03775448  0.11654676 -0.00983736  0.06963303  0.0176131
  0.09552551 -0.09732544  0.06971461 -0.0682223   0.04805921  0.08625293
  0.10264703 -0.07882509 -0.04912589  0.00130308  0.04079625  0.03433426
  0.10559855  0.13344468  0.17749278 -0.12415176 -0.04321653  0.12827098
  0.04573354  0.01882809  0.02838303 -0.06081261  0.15814072  0.10525487
  0.1268511   0.03734941]",both,0.561942663461756,3.13266150187701,0.577
43,1,LowIOS,14,6,3,0.17647058823529413,"[ 0.08234683  0.04709435  0.15657967  0.05151812  0.04657055  0.07427777
  0.02908843  0.04901433 -0.08410977 -0.1611979   0.10609686 -0.09293114
 -0.06479741  0.08692021 -0.03193335  0.10629606 -0.134963   -0.1085018
 -0.01730558  0.03793509  0.05558187  0.07084075 -0.05881592  0.00934685
  0.01749549  0.00406996  0.06097844 -0.01290051  0.07418101  0.12411948
  0.08631231 -0.04384593 -0.03567589 -0.06037988  0.00473041 -0.00418972
  0.03289925  0.05623868  0.08898381 -0.118849   -0.01140095  0.09169284
  0.07355534  0.07364418  0.02524707 -0.0745808   0.08402336  0.07682845
 -0.00808142  0.01239622]","[ 0.14110996  0.02767311  0.1476797   0.05219632 -0.02131713  0.07725323
 -0.00273789  0.11773872 -0.07646554 -0.14609617  0.09215736 -0.06453022
 -0.05200598  0.04338156  0.00445186  0.09780905 -0.15960266 -0.04077452
 -0.0700654   0.05821667  0.04958472  0.069709   -0.18558091 -0.04783977
  0.09367374 -0.01453685  0.05753261 -0.03390408  0.02498976  0.12448216
  0.11254667 -0.06371547 -0.00752211  0.01710896 -0.04944159  0.03946367
  0.0013325   0.06948934  0.08552388 -0.09444228 -0.00960305  0.09682339
  0.06518774  0.1144117   0.03733999 -0.14226794  0.07695411  0.06248759
 -0.05823481 -0.00497107]",both,0.28258873331835765,1.4977726945653558,0.871
46,3,LowIOS,7,1,0,0.0,"[ 0.05708118 -0.03095059  0.07361717 -0.01674473 -0.06067876  0.076667
 -0.02611866  0.03910135  0.06970829 -0.11616907  0.11523318 -0.012058
 -0.01841028  0.05716945  0.05724206  0.10717782 -0.06116614 -0.13037339
 -0.05751043  0.06510616  0.02432254  0.12444275 -0.03005254  0.02167585
  0.10185615 -0.05281945  0.06183627 -0.06807249 -0.01481825  0.06259926
  0.14254104 -0.00889402  0.03055334  0.04007674 -0.01867549  0.07476639
  0.11985724  0.12463999  0.07088194 -0.07607919 -0.05196449  0.13048342
  0.04782979  0.06307968  0.00178787 -0.10419082  0.10089739 -0.02071031
  0.06198676  0.05986912]","[ 0.27243203  0.11711147  0.31861117  0.04343431  0.01518221  0.03876116
  0.06577215  0.06838658  0.04728416 -0.12635705  0.04495806  0.16407667
 -0.02679133  0.12090418 -0.17152347  0.06353083 -0.11828064 -0.1510773
 -0.07089603 -0.08712555 -0.25094816 -0.03585394 -0.24313726 -0.11561961
  0.2308019  -0.09491333 -0.0463613  -0.02871108  0.0787676   0.25609356
  0.37108743 -0.18342881 -0.00084184 -0.0112049   0.17857067  0.20015244
 -0.06301935 -0.10477414  0.19676703  0.00219027 -0.06359202 -0.09181652
  0.07503203 -0.15623438 -0.04241168 -0.1718015   0.00318879 -0.0147218
 -0.08667549  0.01063534]",both,0.9497403847350813,5.480823683552444,0.353
