MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,怒る,聞く,計画,する,動く,行動,ある,いる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,遊ぶ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,いう,話しかける,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,思う,思う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,やる,やる,思う,入る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,接す,やり遂げる,考える,行動,する,動く,なる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,買う,調べる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,怒る,する,する,なくす,する,仕事,もつ,きる,行動,とる,記憶,思う,知る,いる,食事,帰る,なる,,,,,,,,,,,,,,,,,,,,,,,,
29,回答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ひきずる,仕事,する,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,言える,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,する,ゆるす,回答,評価,評価,評価,知る,かける,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ある,相談,評価,現れる,辞める,やる,生きる,思い切る,行動,出来る,保守,仕事,関わる,取れる,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,許容,できる,付ける,いる,やむ,する,思う,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,なる,する,中立,もつ,行う,熟慮,する,とる,わかる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ある,ある,言う,ある,仕事,たのむ,こなす,話す,感じる,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,守る,考える,おもう,接する,できる,心掛ける,信用,する,する,ある,決める,もつ,行動,する,ある,いう,考える,行動,する,思う,ある,取り組む,取り組む,体験,いく,する,ある,行動,する,行動,できる,する,,,,,,,,,
