MID,IOS_score,IOS_group,wc_self,wc_target,wc_intercept,Overlap_score,word_vec_avg_self,word_vec_avg_target,_merge,euclidean_distance,manhattan_distance,cosine_similarity
3,2,LowIOS,5,3,0,0.0,"[ 0.12970965 -0.02112623 -0.02253387  0.04329638  0.10345829 -0.03865748
 -0.10797302  0.08473688 -0.14588788  0.02065441  0.05661635 -0.03167177
  0.00312818  0.13200668 -0.14529651  0.0402335   0.16679354 -0.06633345
 -0.04003825  0.06232608  0.17089441  0.11257341  0.05808713  0.08517428
 -0.0165191  -0.06490562  0.05188134  0.03306579  0.08107068  0.0136835
 -0.00637027  0.11444591 -0.07802812 -0.05687625 -0.00820419 -0.05333012
 -0.07129719  0.06083601  0.0906769  -0.08329578  0.024432    0.07864995
  0.13153373  0.06171921  0.08616062  0.05147313 -0.04873916  0.28822654
  0.06625788 -0.12275183]","[ 0.10904028 -0.08473143  0.05675215  0.05782088 -0.03619129 -0.00913164
 -0.18242364 -0.08926579 -0.12863973  0.02431396  0.0956071  -0.0791154
  0.0438522   0.11785696 -0.04781001  0.14386444  0.05477373 -0.15083914
 -0.02408051  0.03854882  0.18746126 -0.07553011 -0.08547481  0.06734727
  0.1449921   0.01357144  0.22170563  0.04397969  0.05686766  0.04735531
  0.03324438  0.04956141 -0.04366158 -0.05760432 -0.10453735  0.06003376
 -0.11953834  0.15213184  0.02966375 -0.13326626  0.10998887  0.09297511
  0.08021333  0.07834359  0.16463506  0.02410375  0.04055224  0.19062114
 -0.07940216 -0.0681405 ]",both,0.5817057768530643,3.3006183989346027,0.626
11,2,LowIOS,1,6,0,0.0,"[ 0.04467268 -0.02641947  0.1916748   0.04275686  0.05082284  0.17833586
 -0.17467403 -0.03604911 -0.01407666  0.08477864  0.2458447  -0.16680162
 -0.02022665  0.04040994  0.02675585 -0.05048063  0.0865121  -0.11017929
 -0.171079    0.19052503  0.10841275  0.07293075 -0.21496777  0.09712142
  0.27224472 -0.05738075  0.12191614 -0.07523268  0.38904828 -0.19564715
  0.13089117 -0.14692679  0.19656244 -0.04523235  0.04823156  0.31689265
  0.1712874   0.14546825 -0.0229485  -0.00225245  0.08905063  0.05878624
  0.13519326 -0.0064302  -0.05681099 -0.05180613 -0.06918894  0.16750905
 -0.20816122  0.03369264]","[ 0.04378919  0.02432722 -0.09181204  0.0668249   0.13479285  0.06380313
 -0.09938341  0.05370835 -0.19921042 -0.07295258  0.05017874 -0.08119704
 -0.06715139  0.02982775 -0.01796269  0.11015006  0.07385043  0.07698957
 -0.04097848  0.00799818  0.03352433  0.21007614  0.11535096  0.06743608
 -0.06487429 -0.06328571  0.00503197  0.07290898  0.21928887  0.03716552
  0.06963602 -0.0096797   0.0390227   0.04083441 -0.01532129  0.09988234
  0.10398234  0.1567524   0.14516963 -0.04988028  0.02391545  0.08855408
  0.03146661  0.06676588  0.17891638 -0.0076999  -0.07212756  0.15144958
 -0.01693397  0.01596838]",both,0.9805591020308326,5.5014612302184105,0.352
13,6,HighIOS,2,3,0,0.0,"[-0.00738698  0.10435431 -0.17571743  0.07120799 -0.07138275  0.01869067
 -0.00039614  0.24280737 -0.14989598  0.12203316  0.12510663  0.16243102
 -0.07818811  0.04469872  0.01640543 -0.01795183  0.1898564  -0.00673188
 -0.18715267 -0.00931777  0.10427289  0.14836346 -0.00124948  0.09099248
 -0.10389937 -0.17892563  0.0146282  -0.02873696  0.07175311  0.00630669
  0.00508063 -0.06965904  0.10343603  0.09933623  0.08663149  0.02935506
  0.10564918  0.05406017  0.01543353  0.00323174 -0.04089056  0.15470761
 -0.0472679   0.20093457  0.08887892  0.15012638 -0.05238028  0.01402615
 -0.14120191 -0.13211827]","[ 0.1713229   0.03118779  0.00279703 -0.02187152  0.01015065  0.05135235
 -0.02593722  0.02629386 -0.28329265 -0.17445809  0.20019855 -0.10775482
  0.17547202 -0.05941883 -0.03123035  0.00265158  0.00673472 -0.14239398
  0.05172864 -0.06578479  0.23732436  0.07110203 -0.01303032  0.1907158
  0.02061442 -0.00656217  0.24478023  0.00661606  0.02271702  0.06032816
  0.09063324 -0.03933876 -0.1142841   0.0137173  -0.03785491 -0.01387295
 -0.02424473  0.03322067  0.04068682 -0.08763597  0.02766083  0.08508777
  0.08882428  0.1552142   0.19148503 -0.00813946 -0.12409074  0.32582188
  0.03000933 -0.02409995]",both,0.9806114836932619,5.779663813300431,0.203
17,3,LowIOS,5,2,0,0.0,"[ 0.00619531 -0.04341352 -0.06554738 -0.01529954  0.07346294 -0.04322743
  0.0322013   0.09283923 -0.03078583 -0.01280298  0.06648618 -0.13153324
  0.02826475  0.06306537 -0.00079039  0.07766756  0.08215156  0.05360408
 -0.062536   -0.01408542  0.15456401  0.10191505  0.00039033  0.124433
  0.01104912 -0.01923878  0.05389155 -0.0579329   0.07177564 -0.00311702
  0.076791   -0.04968558  0.02027188  0.14088951 -0.13930053  0.11790703
  0.14783701  0.1397739   0.03317508 -0.14319587  0.13286512  0.13709979
  0.0346547   0.03709464  0.07217617 -0.00503965 -0.11725573  0.1310726
 -0.04926251 -0.02953179]","[ 0.10074951 -0.03477319  0.01334162  0.09973485  0.1157077   0.09369632
 -0.16761518  0.12807198 -0.3173036  -0.09533948  0.02618028 -0.02637591
  0.13376097  0.05021828 -0.0688383   0.02314034  0.1548839  -0.20181364
 -0.02003835 -0.06773204  0.19779252 -0.03475217 -0.03562823  0.15689535
  0.19554037 -0.11395458  0.27279857  0.06652674  0.12913892  0.10931922
  0.10132299  0.01712422 -0.2012032  -0.0032261  -0.07570069 -0.09458361
 -0.00698136  0.13135831 -0.03849415 -0.01427523  0.06930196  0.027147
  0.05025458  0.1353099   0.14048621 -0.09371237  0.07931668  0.37189746
  0.03661372 -0.14768498]",both,0.8703558584919324,5.114403113722801,0.384
22,6,HighIOS,2,5,2,0.4,"[ 0.04037306  0.01481102  0.16814518  0.08294819 -0.106213   -0.05414299
 -0.13212031 -0.23065446  0.06421101 -0.1387233   0.11601432 -0.14235066
  0.03528295  0.04793273  0.05951887  0.11345248 -0.11239618 -0.09910953
 -0.13611934  0.04793479  0.1041555   0.1940328   0.08161289 -0.06014216
 -0.11313759  0.10366896  0.05026687  0.05785895  0.19805233 -0.01717433
  0.05546838  0.03087882  0.01871236 -0.05974593 -0.03637593  0.2096214
  0.03919624  0.259357   -0.13621777 -0.13978869  0.09996825  0.02491915
  0.10199778  0.14073974  0.13127042  0.01270866 -0.08158118  0.05131465
 -0.02219439  0.107912  ]","[ 0.04354712  0.00518411  0.02660024  0.04383484  0.02010473 -0.02159945
 -0.0104527   0.06819551 -0.13893802 -0.08459509  0.10664339 -0.05425778
  0.00078723  0.03050463 -0.02837904  0.07379688  0.006969   -0.00707013
 -0.13929434 -0.01191754  0.13739324  0.1883834   0.05508204  0.03831845
 -0.05733337 -0.04123167  0.09744404 -0.00751253  0.13753213  0.01979922
  0.08985707 -0.03848513 -0.00117206  0.01987485  0.01014541  0.07619813
  0.08547001  0.22373433  0.04293332 -0.0681047  -0.00688582  0.11329141
  0.06225965  0.14159277  0.16887338  0.01009156 -0.18700218  0.13658774
 -0.03750401  0.05148169]",both,0.6296773833268892,3.4105198066681623,0.615
32,3,LowIOS,1,5,0,0.0,"[ 0.3767332   0.01530938  0.06534208  0.04272256 -0.02085132  0.10588664
 -0.08430028  0.03895276 -0.28096804 -0.25890496  0.1846435  -0.05786056
  0.2291795   0.04259611 -0.15014677 -0.01223952  0.0243557  -0.165939
 -0.0258956   0.01163171  0.1850985   0.00789736  0.08175455  0.14150746
  0.05135505  0.04163277  0.14178717  0.11743648  0.09870409  0.03114828
 -0.01609839 -0.03772064 -0.21686256 -0.01522375 -0.02209213  0.0759399
 -0.11479538  0.09436873 -0.02127857 -0.18288362  0.03005848  0.07138994
  0.03521253  0.1577431   0.11690398 -0.00461347 -0.10219327  0.44934693
 -0.03145314 -0.24848118]","[-0.00087647 -0.1037946  -0.05583127 -0.00177132  0.08605113 -0.01608176
 -0.06491317 -0.02227251 -0.15397906 -0.06878858  0.10826757 -0.0705531
 -0.04440384  0.0740778  -0.07363425  0.14134318 -0.03269713 -0.02398039
  0.02734663  0.0364904   0.15172967  0.11755855  0.16871054  0.09637537
 -0.10407294  0.00734234  0.09017057  0.04947583  0.13736996  0.01808123
  0.11201215  0.01785799 -0.02693399 -0.0715683  -0.10695156  0.027756
  0.05031515  0.09456331  0.13179733 -0.13516489  0.06960688  0.08189594
  0.07188165  0.06026274  0.10387254  0.00339223 -0.03442463  0.30559266
  0.04042315 -0.05212983]",both,0.8088679956880063,4.44055418856442,0.591
41,3,LowIOS,1,5,1,0.2,"[ 0.04467268 -0.02641947  0.1916748   0.04275686  0.05082284  0.17833586
 -0.17467403 -0.03604911 -0.01407666  0.08477864  0.2458447  -0.16680162
 -0.02022665  0.04040994  0.02675585 -0.05048063  0.0865121  -0.11017929
 -0.171079    0.19052503  0.10841275  0.07293075 -0.21496777  0.09712142
  0.27224472 -0.05738075  0.12191614 -0.07523268  0.38904828 -0.19564715
  0.13089117 -0.14692679  0.19656244 -0.04523235  0.04823156  0.31689265
  0.1712874   0.14546825 -0.0229485  -0.00225245  0.08905063  0.05878624
  0.13519326 -0.0064302  -0.05681099 -0.05180613 -0.06918894  0.16750905
 -0.20816122  0.03369264]","[-0.03761842  0.11505386  0.03822585  0.07570086  0.13181533  0.05256023
 -0.1387458   0.06309981 -0.05267268 -0.0173645   0.09622827 -0.02134889
  0.03882013  0.06441564 -0.01560341  0.00584829  0.04476683 -0.02324981
 -0.21075298  0.1230926   0.11386123 -0.00984044  0.08408806  0.1280634
  0.00033781 -0.12000792 -0.02682597  0.08351427  0.08446199 -0.0344405
 -0.02130244 -0.10736883 -0.0524465  -0.00249595 -0.0855576   0.03071855
  0.05411567  0.03187829  0.05129807 -0.12390053  0.04562638 -0.08293313
  0.06615113  0.15826656 -0.0330951  -0.02700059 -0.06929711  0.17332746
  0.01192321 -0.05694187]",both,0.9236179542220734,5.24553233012557,0.417
42,6,HighIOS,5,6,1,0.1,"[ 0.09291545 -0.07515723 -0.10077606 -0.01143639  0.06170412  0.04029227
 -0.14919387  0.06215703 -0.18834473 -0.00656561  0.10536971 -0.08801167
 -0.02899472 -0.00422254  0.02662123  0.13311386 -0.07488061 -0.06827804
 -0.02938535  0.08173244  0.13376047  0.13666672  0.05615915  0.05339589
  0.02207741 -0.07410271 -0.02086732  0.04571846  0.04569542 -0.06886171
  0.1058409   0.01623115  0.02590269  0.1177005  -0.05669833  0.0084106
  0.10189138  0.17481017  0.11512084 -0.07515927 -0.07385536  0.06776904
  0.05389538  0.0703712   0.18744203 -0.01349234 -0.04196899  0.13903844
 -0.13573948  0.02951404]","[ 0.07115837  0.0068584   0.03775152  0.02300376  0.06559689  0.09779674
 -0.06596544  0.03026895 -0.15519084 -0.03180346  0.08818951 -0.07149663
  0.01100347  0.08731526 -0.05942849  0.05843643  0.13525896  0.00291781
 -0.17484242  0.0658928   0.18847792  0.13978942  0.00611056  0.1185881
  0.06004754 -0.07044876  0.1574755   0.02304139  0.19978446 -0.00284626
  0.1498527  -0.07733316 -0.0361211   0.04902602 -0.04227836  0.06133563
  0.04894852  0.17677163  0.07189481 -0.06768326 -0.0204362   0.05529423
  0.00892039  0.14448859  0.11296213 -0.04440982 -0.15004708  0.2330914
 -0.07487789 -0.08461779]",both,0.5363375127505008,3.024799730628729,0.675
43,1,LowIOS,10,8,3,0.2,"[ 0.03833604  0.0655303   0.05654027  0.01416838  0.10653758  0.0229345
 -0.12573275 -0.01593965 -0.16366097  0.0399573   0.10681904 -0.04716869
 -0.10827449  0.10128541  0.01093557  0.09070344 -0.0542983   0.0070862
 -0.03286114  0.01852747  0.09894484  0.09024437 -0.03259293  0.01107201
  0.07032161 -0.0312032   0.08483902  0.06482738  0.13288116  0.01097711
  0.03586178 -0.00417533  0.03082773  0.00655216 -0.02893254 -0.06921341
  0.0517061   0.15761489  0.07624122 -0.05280945 -0.02457064  0.11255706
  0.03155188  0.09858463  0.06155865  0.00588839 -0.04600935  0.18396968
 -0.10972656  0.06380486]","[ 0.07342046 -0.01579601  0.03078029  0.04221676  0.09416986  0.03866382
 -0.11974956  0.03536086 -0.17413242 -0.05756123  0.03683869 -0.00759845
 -0.06606015  0.03715112 -0.04747929  0.08203038  0.03446954  0.0297508
 -0.12004498  0.02392259  0.15268476  0.12702873 -0.01610155  0.06189733
 -0.00717228 -0.05472816  0.05184568  0.00280069  0.10333613  0.00804495
  0.0218701  -0.00404921 -0.05166052  0.04312528 -0.03954427 -0.08033653
  0.08186852  0.18690363  0.11366747 -0.06422701 -0.05471539  0.10751708
  0.08969527  0.1305636   0.1004931   0.08974666 -0.06953561  0.17156537
 -0.04821363 -0.00977359]",both,0.3301325959282471,1.9192761844024062,0.826
46,3,LowIOS,3,2,0,0.0,"[ 0.02158162 -0.07719034  0.02613296 -0.0368124  -0.03938318  0.09661318
 -0.07136423  0.01336784 -0.27171874 -0.08379854  0.15795222 -0.06784335
 -0.06956504  0.08735184 -0.08516118  0.17753713  0.01444834  0.0199144
 -0.05270035  0.16573638  0.17229818  0.20953146  0.01873303  0.15441823
 -0.03661681 -0.08738945  0.07626047  0.10660833  0.13571437  0.01762926
  0.17730375  0.01506682  0.00538313  0.10786286 -0.15192394  0.05729
 -0.04591527  0.20381595  0.08653073 -0.13521034  0.07559762  0.1584078
  0.01546074  0.16140082  0.15310644 -0.04777436 -0.08558744  0.2895148
  0.01703572 -0.01123608]","[ 0.02629722  0.00197672 -0.00615036 -0.11649437  0.03223819  0.09214421
 -0.0209269  -0.10958989 -0.14511418 -0.11118527  0.07590809 -0.11197481
 -0.11987853  0.05547744 -0.0435691   0.23458657  0.13888127 -0.11806161
 -0.10430419  0.06132459  0.24550098  0.26113966  0.13546687  0.17792794
 -0.08900949 -0.09610695  0.02192363  0.15897661 -0.00172262  0.06876728
  0.11189085 -0.10395572 -0.04488153 -0.01486293 -0.04624678  0.02798981
 -0.00268613  0.09543344 -0.09443036 -0.20755698 -0.02003455  0.0679973
 -0.07431822  0.15282992  0.08835047 -0.03661856 -0.07944682  0.29495698
  0.21539596 -0.1905056 ]",both,0.6097283871178375,3.593038534745574,0.739
