1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
愛想,,,,,,,,,,,,,,,,,,,,,,,,,,
道,世話好き,リーダー,肌,友達,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
どちら,自分,,,,,,,,,,,,,,,,,,,,,,,,,
どちら,,,,,,,,,,,,,,,,,,,,,,,,,,
人,輪,,,,,,,,,,,,,,,,,,,,,,,,,
相手,悪気,別け隔て,最後,人,,,,,,,,,,,,,,,,,,,,,,
何,入念,,,,,,,,,,,,,,,,,,,,,,,,,
基本,人並み,相手,面,責任,そこ,人付き合い,面,消極,そこ,人,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
人見知り,,,,,,,,,,,,,,,,,,,,,,,,,,
答,,,,,,,,,,,,,,,,,,,,,,,,,,
どちら,,,,,,,,,,,,,,,,,,,,,,,,,,
先,自己,自己,自己,何事,人,声,,,,,,,,,,,,,,,,,,,,
どちら,面,業務,対人,業務,自分,人材,人,誰,コミュニケーション,独り,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
まあ,他人,他人,気,,,,,,,,,,,,,,,,,,,,,,,
感情,責任,コミュニケーション,,,,,,,,,,,,,,,,,,,,,,,,
気分,自分,余裕,寛大,愚痴,,,,,,,,,,,,,,,,,,,,,,
自分,自身,家族,人,余裕,人当たり,人,笑顔,あまり,基本,自分,最後,責任,それ,責任,なん,先,自分,興味,それ,天空,仙人,無料,会場,世間,自分,上記
愛想,エピソード,決まり,ルール,常識,音楽,その他,出不精,,,,,,,,,,,,,,,,,,,
他人,受け身,,,,,,,,,,,,,,,,,,,,,,,,,
あまり,付き合い,社交,,,,,,,,,,,,,,,,,,,,,,,,
他人,あまり,役割,誘い,,,,,,,,,,,,,,,,,,,,,,,
根,タイプ,余裕,気,,,,,,,,,,,,,,,,,,,,,,,
他人,他人,趣味,人付き合い,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
外面,長男,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
どちら,人,責任,興味,人間,新潮,人間,,,,,,,,,,,,,,,,,,,,
愛想,感じ,笑顔,何事,,,,,,,,,,,,,,,,,,,,,,,
事柄,人,印象,気,責任,事柄,人,人,,,,,,,,,,,,,,,,,,,
問,どちら,面,他人,自分,手,物事,家,ビリ,基本,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
人間,こちら,こちら,,,,,,,,,,,,,,,,,,,,,,,,
何事,ケースバイケース,どちら,自分,,,,,,,,,,,,,,,,,,,,,,,
自分,自分,人当たり,性格,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
人,私,なん,なん,表向き,感じ,割,そこ,タイプ,すき,誰,,,,,,,,,,,,,,,,
愛想,逃げ,石橋,石橋,引き,,,,,,,,,,,,,,,,,,,,,,
愛想,笑い,最後,人見知り,,,,,,,,,,,,,,,,,,,,,,,
私,他人,怒り,それ,割,彼氏,仏,他人,感じ,人,他人,そこ,貴方,責任,自分,責任,何事,勢い,物事,自分,何,心,人,人,,,
嫌味,,,,,,,,,,,,,,,,,,,,,,,,,,
心,どちら,人見知り,,,,,,,,,,,,,,,,,,,,,,,,
相手,愛想,エピソード,,,,,,,,,,,,,,,,,,,,,,,,
あまり,人当たり,人付き合い,人付き合い,,,,,,,,,,,,,,,,,,,,,,,
何,自分,自分,知らん顔,どこ,何,人,ぶん,みんな,愛嬌,,,,,,,,,,,,,,,,,
相手,責任,お金,リーダー,誰,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
顔,周り,責任,,,,,,,,,,,,,,,,,,,,,,,,
引っ込み思案,,,,,,,,,,,,,,,,,,,,,,,,,,
かん,,,,,,,,,,,,,,,,,,,,,,,,,,
印象,フレンドリー,責任,,,,,,,,,,,,,,,,,,,,,,,,
人,番組,めった,番組,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
気持ち,犯罪,責任,何事,気力,人,億劫,,,,,,,,,,,,,,,,,,,,
自分,自身,自力,基本,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
気持ち,心,部分,長女,かも,自分,,,,,,,,,,,,,,,,,,,,,
リーダー,それなり,成果,リスク,自身,人付き合い,,,,,,,,,,,,,,,,,,,,,
性格,人柄,何事,どちら,ひとり,すき,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
笑顔,後先,,,,,,,,,,,,,,,,,,,,,,,,,
相手,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
責任,口,,,,,,,,,,,,,,,,,,,,,,,,,
文句,嫌味,自分,夫,ママ,友,最後,方法,興味,沢山,ママ,友,リーダ,,,,,,,,,,,,,,
背,タイプ,社交,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
親,親,人付き合い,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
自分,わり,愛想,責任,自分,中心,消極,人見知り,,,,,,,,,,,,,,,,,,,
偏見,初対面,人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
関東,,,,,,,,,,,,,,,,,,,,,,,,,,
よく,人,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
なす,,,,,,,,,,,,,,,,,,,,,,,,,,
責任,何,誰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
母親,独り,,,,,,,,,,,,,,,,,,,,,,,,,
自己,外面,自分,基本,受け身,人間,,,,,,,,,,,,,,,,,,,,,
内容,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
マナー,人間,無表情,人込み,電車,店,,,,,,,,,,,,,,,,,,,,,
