1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,,,,,,,,,,,,,,,,,,
お人好し,基本,受け身,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
それ,自分,家,先,人,私,,,,,,,,,,,,,,,,,,,,
態度,感じ,人見知り,,,,,,,,,,,,,,,,,,,,,,,
人当たり,性格,,,,,,,,,,,,,,,,,,,,,,,,
人,感じ,何,入念,自分,人,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
わたし,笑顔,社長,意欲,誰,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
エピソード,釣り,魚,どちら,エピソード,交友,,,,,,,,,,,,,,,,,,,,
だれ,性格,子供,どちら,人,平気,,,,,,,,,,,,,,,,,,,,
子煩悩,妻子,主義,人,スキル,老若男女,誰,コミュニケーション,,,,,,,,,,,,,,,,,,
自分,責任,周り,気,,,,,,,,,,,,,,,,,,,,,,
気分,酒,,,,,,,,,,,,,,,,,,,,,,,,
余裕,社交,最後,コミュニケーション,能力,,,,,,,,,,,,,,,,,,,,,
どちら,,,,,,,,,,,,,,,,,,,,,,,,,
ノリ,たま,愚痴,こ,委員,委員,教室,手芸,教室,人,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
恨み,どちら,心,,,,,,,,,,,,,,,,,,,,,,,
視野,一つ,相手,社交,面,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
自分,わがまま,他者,評判,物おじ,友人,知り合い,,,,,,,,,,,,,,,,,,,
当たり,友達,,,,,,,,,,,,,,,,,,,,,,,,
人見知り,,,,,,,,,,,,,,,,,,,,,,,,,
外面,長男,人,,,,,,,,,,,,,,,,,,,,,,,
夫,,,,,,,,,,,,,,,,,,,,,,,,,
狭量,不可,ぶん,,,,,,,,,,,,,,,,,,,,,,,
