MID,start,end,rt,self_sex,self_age,residence,participation,IOS_score,target_likedislike,target_sex,target_age,relationship,self_tolerance_score,self_pleasantness_score,self_responsibility_score,self_carefulness_score,self_activeness_score,self_sociability_score,target_tolerance_score,target_pleasantness_score,target_responsibility_score,target_carefulness_score,target_activeness_score,target_sociability_score,completion,stratumID
1,2023/05/19-12:49:28,2023/05/19-12:55:05,337.0,2,40,23,1,2,2,1,3,夫,1,7,1,3,1,2,1,7,2,7,7,2,COMP,2
2,2023/05/19-12:56:08,2023/05/19-13:06:05,597.0,2,36,11,1,3,2,1,3,友人,2,4,6,5,6,5,2,6,2,5,2,6,COMP,3
3,2023/05/19-13:05:26,2023/05/19-13:13:17,471.0,1,43,23,1,4,3,2,4,妻,4,4,3,4,5,2,5,4,2,5,3,6,COMP,4
4,2023/05/19-13:06:19,2023/05/19-13:18:47,748.0,1,55,16,1,6,1,2,1,子,3,5,3,4,6,1,4,7,5,4,2,7,COMP,6
5,2023/05/19-13:02:30,2023/05/19-13:19:05,995.0,2,53,7,1,1,3,1,5,夫,4,6,1,6,6,4,3,4,5,3,2,5,COMP,1
6,2023/05/19-13:14:52,2023/05/19-13:20:11,319.0,1,27,8,1,5,2,2,2,友達,3,4,3,6,3,5,2,5,2,6,3,7,COMP,5
7,2023/05/19-13:19:03,2023/05/19-13:25:31,388.0,2,42,14,1,5,2,2,7,母,1,7,1,5,4,5,1,7,1,5,4,5,COMP,5
8,2023/05/19-13:22:40,2023/05/19-13:28:08,328.0,2,41,11,1,1,4,1,4,夫,4,4,7,3,7,1,7,1,7,4,7,1,COMP,8
9,2023/05/19-13:36:58,2023/05/19-13:38:28,90.0,2,48,17,1,5,4,2,4,夫,4,5,5,4,4,4,4,4,4,4,4,4,COMP,12
10,2023/05/19-13:34:56,2023/05/19-13:43:26,510.0,2,44,14,1,7,1,1,4,夫,4,6,6,4,6,2,1,6,2,4,4,4,COMP,7
11,2023/05/19-13:43:10,2023/05/19-13:48:07,297.0,1,26,37,1,2,1,2,2,彼女,2,6,3,6,4,6,2,7,2,7,7,3,COMP,2
12,2023/05/19-13:52:03,2023/05/19-13:58:06,363.0,2,50,27,1,2,1,2,5,友人,1,7,2,4,7,7,1,5,1,4,1,7,COMP,2
13,2023/05/19-13:52:28,2023/05/19-13:58:32,364.0,2,52,13,1,7,1,1,5,夫,6,2,6,7,7,1,1,7,1,6,4,4,COMP,7
14,2023/05/19-13:58:07,2023/05/19-14:02:38,271.0,2,42,7,1,1,4,1,4,夫,5,4,3,7,7,1,7,3,5,3,7,1,COMP,8
15,2023/05/19-13:56:43,2023/05/19-14:07:06,623.0,2,31,5,1,7,1,1,3,交際中の彼氏（パートナー）,1,7,1,6,4,1,3,4,1,3,2,7,COMP,7
16,2023/05/19-14:10:51,2023/05/19-14:19:05,494.0,2,56,1,1,2,4,1,5,夫,5,5,4,4,4,4,6,2,4,4,5,2,COMP,9
17,2023/05/19-14:16:04,2023/05/19-14:21:20,316.0,1,51,13,1,3,4,2,5,妻,3,3,6,2,6,2,3,3,2,5,4,5,COMP,10
18,2023/05/19-14:16:47,2023/05/19-14:23:25,398.0,2,46,12,1,7,1,1,1,息子,5,5,4,4,6,4,4,7,3,2,1,7,COMP,7
19,2023/05/19-15:28:43,2023/05/19-15:34:52,369.0,2,53,11,1,2,4,1,6,仕事関係,2,5,2,6,3,6,1,7,1,7,1,7,COMP,9
20,2023/05/19-15:33:08,2023/05/19-15:35:53,165.0,1,41,47,1,4,4,1,5,ラジオ番組の相手,1,6,3,5,5,6,5,3,2,5,5,5,COMP,11
21,2023/05/19-15:32:51,2023/05/19-15:39:58,427.0,1,57,25,1,4,4,2,5,妻,5,3,6,4,2,2,3,3,4,5,6,2,COMP,11
22,2023/05/19-15:38:44,2023/05/19-15:40:38,114.0,1,54,14,1,7,4,1,11,分からない,5,5,4,3,5,4,6,3,6,3,4,6,COMP,14
23,2023/05/19-15:43:59,2023/05/19-15:46:44,165.0,2,59,27,1,4,4,1,6,夫,4,5,5,5,3,4,3,4,3,4,4,6,COMP,11
24,2023/05/19-15:59:17,2023/05/19-16:01:47,150.0,2,39,40,1,2,4,2,4,友人,5,4,3,6,2,6,3,5,3,6,3,5,COMP,9
25,2023/05/19-15:57:34,2023/05/19-16:03:31,357.0,1,56,14,1,2,5,1,5,子供の頃からの友人,3,3,1,7,5,2,3,5,2,7,3,5,COMP,9
26,2023/05/19-15:58:33,2023/05/19-16:05:41,428.0,1,55,27,1,4,4,2,4,妻,3,4,2,6,4,3,3,5,2,6,5,3,COMP,11
27,2023/05/19-16:40:43,2023/05/19-16:45:44,301.0,2,53,13,1,5,4,1,5,夫,6,6,2,4,7,1,2,6,4,6,2,6,COMP,12
28,2023/05/19-16:34:02,2023/05/19-16:58:09,1447.0,2,59,11,1,4,4,1,6,夫,3,5,3,6,5,6,2,6,5,6,2,6,COMP,11
29,2023/05/19-16:51:42,2023/05/19-17:00:53,551.0,2,48,4,1,3,4,2,4,同僚,1,6,1,6,4,4,2,7,1,7,4,4,COMP,10
30,2023/05/19-17:51:50,2023/05/19-17:57:03,313.0,2,36,13,1,7,6,2,6,母,7,1,1,1,1,1,7,7,1,7,1,1,COMP,14
31,2023/05/19-18:17:36,2023/05/19-18:20:12,156.0,1,50,31,1,3,4,2,4,つま,4,5,3,4,4,3,1,7,3,7,4,7,COMP,10
