MID,IOS_score,IOS_group,wc_self,wc_target,wc_intercept,Overlap_score,word_vec_avg_self,word_vec_avg_target,_merge,euclidean_distance,manhattan_distance,cosine_similarity
1,2,LowIOS,14,10,1,0.043478260869565216,"[ 0.1058292   0.02908306  0.05915746  0.02948001  0.0490743   0.03297472
 -0.06103039  0.03867036 -0.07479926 -0.05135     0.08041532 -0.01133765
 -0.04026837  0.05539275 -0.00908119  0.0444169  -0.01212827 -0.06782803
 -0.04734247  0.08197854  0.10174821  0.11512168 -0.02232329  0.01565233
  0.03569195 -0.05078308  0.02341729 -0.06442953  0.0666701   0.05736033
  0.05190947  0.01356006 -0.02404487 -0.04293329  0.00588103  0.03575427
 -0.01291572  0.08929018  0.13115165 -0.08150538  0.03941793  0.05079526
  0.09079647  0.08853699  0.03775631 -0.07025574  0.03074     0.13113075
  0.06424484 -0.02020193]","[ 0.10281058 -0.01622817  0.12231994  0.00109742 -0.00218687  0.02787927
 -0.05148222 -0.02377091 -0.15244712 -0.08287358  0.15333073 -0.07431631
  0.03301454  0.14427575 -0.01346614  0.13432023 -0.00487284 -0.13800052
 -0.01289379  0.05867501  0.15235135  0.09146103 -0.01179487  0.05281321
  0.07865671 -0.04814221  0.15315603  0.0578777   0.0954013   0.03366413
  0.03432774  0.02872022 -0.03622088 -0.04121505 -0.08759582  0.08627766
 -0.08704633  0.12249351  0.00707789 -0.11999208  0.09737505  0.13647243
  0.02958939  0.12762998  0.0676281  -0.04340216  0.0346836   0.14020813
  0.0083793  -0.02574127]",both,0.3921996645703992,2.212569275405258,0.759
2,3,LowIOS,15,12,3,0.125,"[ 0.04897259  0.03272291  0.11012402 -0.00098261  0.00105977  0.04510436
 -0.06409105  0.07698671 -0.04315123 -0.067583    0.09354154 -0.06079992
 -0.01485991  0.01227888  0.02717331  0.06316225 -0.00823379 -0.06537725
 -0.06249236  0.07394328  0.09762453  0.12382017 -0.02316623 -0.00590838
  0.05993418 -0.01891891  0.03773098 -0.07106152  0.05502256  0.06755856
  0.05104208 -0.011626    0.00248089  0.06164967 -0.02843298  0.08919223
  0.07020687  0.09534396  0.12799531 -0.10824635  0.04005269  0.10135979
  0.04030319  0.06201994  0.05999285 -0.03475166  0.05785607  0.06350146
  0.00413858  0.01385805]","[ 0.10208222  0.0109177   0.06720565  0.06214175  0.03481948  0.10789227
 -0.06369865  0.08049281 -0.08863188 -0.111403    0.10094739 -0.09055596
 -0.00183341 -0.00395728  0.02203364  0.10435928 -0.01398647 -0.12815654
 -0.09896836  0.05470735  0.14345671  0.08721895 -0.08336762  0.02108461
  0.10162327 -0.02064127  0.08497427 -0.06404036  0.03411621  0.06120972
  0.07108211 -0.00296653 -0.03133225  0.03745273 -0.02951272  0.05656823
  0.0061706   0.10186578  0.07724    -0.10303954  0.01523386  0.08819854
  0.08507197  0.08716264  0.07422791 -0.10389958  0.08572408  0.13407606
  0.06066683  0.01375937]",both,0.25816739658126175,1.4955459972843528,0.879
4,6,HighIOS,13,15,3,0.12,"[ 2.1194121e-02 -4.0219501e-02  1.2135086e-02  1.5629776e-02
  6.9143303e-02  5.2425452e-02 -7.6229967e-02  1.2521339e-02
 -1.4829548e-01 -6.4849369e-02  7.7291951e-02 -1.1020123e-01
 -5.3741699e-03  2.1142390e-02  1.5820190e-02  7.3298052e-02
 -1.3338360e-01 -8.3160728e-02 -4.2493399e-02  2.4449997e-02
  8.8825278e-02  6.0012758e-02 -1.5101762e-02 -3.1955205e-02
  7.2044265e-03 -6.2880389e-02  4.2897549e-02 -1.6947344e-02
 -8.8391639e-04 -2.1122629e-02  6.8414599e-02 -9.5617929e-03
 -3.7961520e-02  4.7683276e-02 -6.4851306e-02  4.5019150e-02
  8.9010000e-02  1.4433238e-01  3.4733117e-02 -5.7074696e-02
 -5.2056037e-02  1.0429302e-01  5.3165559e-02  1.0719464e-01
  1.0153662e-01  7.6917931e-05  6.6047952e-02  9.0767473e-02
 -3.8951049e-03  6.6014037e-02]","[ 0.03818737 -0.00728261  0.14105798  0.0177803   0.02757864  0.09588877
 -0.06382918  0.03076952 -0.06680637 -0.08558604  0.10788064 -0.07362758
 -0.03287311  0.04297955 -0.01520014  0.02720443  0.02828596 -0.04154933
 -0.11035076  0.06808676  0.14103082  0.08437623  0.03833182  0.04730213
  0.07987946 -0.05817923  0.10927054 -0.00505639  0.11274069  0.04227587
  0.10129382 -0.07236172 -0.0392198   0.0121874  -0.01336042  0.05151661
  0.06512313  0.1494782   0.1234694  -0.07897064 -0.03513796  0.06961421
  0.02182914  0.06836181  0.06802515 -0.03009102  0.01128358  0.15297998
  0.02361158 -0.03760652]",both,0.38946893217502376,2.2128531634807587,0.688
5,1,LowIOS,28,18,6,0.15,"[ 0.06807982  0.03903689  0.10688438  0.04615929  0.06820227  0.03625423
 -0.05506153  0.00067083 -0.1069987  -0.09256079  0.11342551 -0.07646266
 -0.07662132  0.09197038 -0.01418356  0.08661889 -0.07727443 -0.06028676
 -0.0323588   0.01308013  0.07711262  0.08467806 -0.03783648  0.01294524
  0.03909604 -0.00353631  0.07918877  0.03895026  0.09243326  0.07151389
  0.05864554 -0.03376641 -0.0304876  -0.0239639  -0.01651611 -0.02286984
  0.02425521  0.11436297  0.06467759 -0.08209462 -0.01119216  0.11007416
  0.04063333  0.08279378  0.05033698 -0.02973826  0.02111057  0.13741924
 -0.04583296  0.00441098]","[ 0.1120254  -0.00926766  0.12189267  0.03727306  0.04549756  0.06167261
 -0.06879389  0.05284233 -0.1260885  -0.11577886  0.08428388 -0.03754966
 -0.04037801  0.04196791 -0.03370463  0.08391637 -0.02801306 -0.03880763
 -0.08442602  0.02689117  0.12495182  0.12617703 -0.06354699  0.00117029
  0.06325377 -0.03370015  0.06642699 -0.00853227  0.084976    0.07532366
  0.07565763 -0.00833412 -0.05425056  0.01941671 -0.03869628  0.00779984
 -0.01247028  0.15687273  0.09065061 -0.04792886 -0.02929589  0.09515229
  0.04782248  0.12453108  0.07152165 -0.01828147  0.00310226  0.14793684
 -0.01588922 -0.04048505]",both,0.21627675338082253,1.3580497866496444,0.906
6,5,HighIOS,12,11,3,0.15,"[ 0.04056099  0.00793217  0.10800476  0.02165738  0.01756543  0.11144412
 -0.07457927  0.01888158  0.00525122 -0.06700726  0.06365523 -0.09980004
 -0.08880084  0.03644166  0.03675135  0.11533673 -0.14108357 -0.13406706
  0.00478949  0.02652108  0.09340377  0.07923073 -0.10203156  0.02310555
  0.09007005 -0.01712409  0.05701489 -0.1008956   0.00980567  0.06373474
  0.01774504 -0.01782127  0.00480054  0.00996787  0.00673266 -0.02127575
  0.11929148  0.08462537  0.12480199 -0.06439143 -0.07689396  0.07874969
  0.08241773 -0.00454552  0.08071526 -0.04921521  0.17475471  0.02351498
 -0.00099053  0.14101581]","[ 0.08884796  0.04529652  0.11056251  0.03638473  0.07272489  0.07448038
 -0.08956043 -0.00207266 -0.03170308 -0.07085896  0.04649313 -0.05908955
 -0.08260654  0.07252902  0.03119827  0.08067611 -0.08112177 -0.13339652
  0.00171353 -0.04879451  0.01616848  0.07231461 -0.03781378 -0.01446264
  0.12333993 -0.01686089  0.02804285 -0.04107349  0.0057674   0.02435978
  0.07199793  0.00225585  0.01756446 -0.01241751 -0.01209359  0.04808644
  0.02591292  0.09194649  0.06392271 -0.07197667 -0.00431273  0.06876887
  0.08601201  0.02478741  0.06737873 -0.04943735  0.10870458  0.04457967
 -0.02467686  0.03133167]",both,0.2972819530303178,1.6192358587868512,0.833
8,1,LowIOS,13,11,0,0.0,"[ 0.07763564 -0.03641362  0.13498305  0.03115249  0.03109181  0.09974058
 -0.0500342   0.06761812 -0.02269121 -0.09743786  0.12019627 -0.07766332
 -0.05531702  0.05845947  0.02885007  0.10929462 -0.08527747 -0.11774962
 -0.05530096  0.01829226  0.02621873  0.09135294  0.00681446  0.00185573
  0.12027939 -0.07505536  0.08932233 -0.01608675  0.03228696  0.06035092
  0.11849678 -0.01967917  0.0082257   0.00726154 -0.02592711  0.03968256
  0.06280175  0.07211337  0.15039374 -0.06013129 -0.03517499  0.09815447
  0.04605303  0.07853215  0.03543286 -0.04842104  0.08733495  0.03680332
  0.02459193  0.01919854]","[ 0.0807805   0.03990518  0.11526284  0.01269229 -0.02111438  0.12348395
  0.01991068  0.1272568  -0.01030736 -0.07954692  0.15069233 -0.11589961
 -0.04624571  0.0846267   0.02306507  0.10795319  0.01325397 -0.13354035
 -0.04127289  0.01451307  0.15624854  0.15124036 -0.09138611  0.10264735
 -0.01855085 -0.09436876  0.02352047 -0.1053591   0.0624558   0.10194049
  0.04381904  0.00351089 -0.01287023 -0.00133427 -0.04638722  0.1230825
 -0.0032928   0.10851433  0.08085969 -0.08060589  0.04418922  0.07358623
  0.01069955  0.12355282  0.04169204 -0.08560682  0.046877    0.13098706
  0.05961946 -0.0081763 ]",both,0.3950465178796277,2.219283771701157,0.741
10,7,HighIOS,15,18,2,0.06451612903225806,"[ 0.05812669  0.00285519  0.04680847  0.00245461  0.00015733  0.05016863
 -0.02325578  0.07952496 -0.04706393 -0.14339283  0.08307171 -0.01902111
 -0.04154624  0.05191322  0.00532333  0.11156725 -0.01961425 -0.11629736
 -0.10977338  0.10949358  0.09785829  0.12060835 -0.03854273  0.01556393
  0.0550315  -0.04185457  0.06545161 -0.04683509  0.05739444  0.09774467
  0.04936253 -0.05642289 -0.05743307  0.06147476  0.01847378  0.05045823
  0.06241557  0.09716765  0.04601316 -0.06715915 -0.01484692  0.08826531
  0.04276025  0.08059016  0.02250162 -0.05010019  0.05855818  0.03714172
 -0.01099157  0.01880807]","[ 0.09875053 -0.0269885   0.08577037 -0.00460766  0.03215896  0.04048628
 -0.05715082  0.04859974 -0.03774622 -0.0672588   0.07691877 -0.04594079
 -0.01998491  0.07932092  0.04351659  0.06516398 -0.04788401 -0.12973708
 -0.01005415  0.0357771   0.09447744  0.14365023  0.05083706  0.03625842
  0.07553088 -0.02298019  0.08160959 -0.02582931  0.05879632  0.06171098
  0.10713729 -0.03544037 -0.03565145 -0.01401407 -0.01485451  0.05238769
  0.04717282  0.0625975   0.07905241 -0.09806757 -0.01357471  0.07151429
  0.01302562  0.03473841  0.07502793 -0.06236222  0.04287107  0.08731328
  0.03105355 -0.00961138]",both,0.2701093038398864,1.560468434356153,0.82
11,2,LowIOS,15,17,3,0.10344827586206896,"[ 0.0591039   0.00156634  0.12270451  0.02183075  0.0435036   0.10700913
 -0.06825628  0.09833664 -0.14512058 -0.11886418  0.10112105 -0.08925636
 -0.05351093  0.05190106 -0.03853948  0.0686584  -0.05371065 -0.08573611
 -0.03057675  0.02031892  0.09477912  0.11746408  0.00472473  0.04663518
  0.0524002  -0.02727025  0.14045864  0.01767418  0.08184881  0.08791702
  0.11609754 -0.04312365 -0.04714148 -0.04406615 -0.05138534  0.02511012
  0.01853788  0.08594463  0.12410191 -0.14438218  0.0016992   0.10950558
  0.10990396  0.07703767  0.07766657 -0.06388512  0.05611165  0.1905646
  0.03752865  0.02501602]","[ 0.05570973  0.01825618  0.05397754  0.00485347 -0.0079207   0.09388751
 -0.05288341  0.08515273 -0.02680097 -0.05505287  0.07764045 -0.02559305
 -0.0242463   0.10573671 -0.00748355  0.00237844  0.08549641 -0.16012716
 -0.06937301  0.01058856  0.07700229  0.07038708 -0.02401334  0.02854985
  0.12337613 -0.07967191  0.07323729  0.01567207  0.05653171  0.06292702
  0.06472193  0.04012251  0.01596202  0.06765155 -0.01671585  0.0361249
 -0.02048024  0.09988756  0.01938951 -0.06986748 -0.01485555  0.08427912
  0.05038009  0.1094772   0.09854789 -0.00409864  0.05689578  0.08105925
  0.01583136 -0.04922669]",both,0.3964422075154132,2.273269385099411,0.729
12,2,LowIOS,34,28,5,0.08771929824561403,"[ 0.06940667 -0.0013609   0.11218073  0.00679303  0.00988169  0.09467661
 -0.04362845  0.04867527 -0.03243927 -0.06470963  0.11434857 -0.05618188
 -0.04529205  0.0541032  -0.00652028  0.05050434 -0.00176929 -0.09788341
 -0.06944171  0.01359803  0.10475641  0.1256656   0.00587839  0.02070606
  0.07199144  0.00617083  0.08917762 -0.0239275   0.07351688  0.05131154
  0.10723364  0.01504144  0.03017427  0.00483316  0.01212012  0.11834702
 -0.00085401  0.11887395  0.07815887 -0.0659858   0.00807142  0.06386678
  0.01255048  0.06895065  0.04166284 -0.00896713  0.0336883   0.0869445
  0.08317189 -0.00145102]","[ 0.08870533 -0.00962192  0.09201618 -0.00690209  0.02375555  0.04443979
 -0.07506116  0.05471792 -0.04324096 -0.07105748  0.05924756 -0.06729174
 -0.05698955  0.05249451  0.00723945  0.08734398 -0.02091218 -0.09698298
 -0.07355404  0.05103859  0.07288751  0.10193837  0.0059222   0.00358679
  0.0395007  -0.04336006  0.01888469 -0.04814115  0.09416465  0.07753163
  0.09869681 -0.02913403  0.00158745 -0.0004361   0.0057016   0.07232395
  0.05311614  0.11282103  0.1180615  -0.09478419 -0.02113207  0.07185934
  0.05474072  0.04413679  0.04739124 -0.06404837  0.0309696   0.08839776
  0.04243662  0.00282825]",both,0.20506555687867692,1.149953234475106,0.893
13,7,HighIOS,9,10,0,0.0,"[ 0.08257107  0.04837709  0.09895909  0.00305015 -0.07991622  0.07270274
 -0.05695545  0.06369023 -0.10537551 -0.04502802  0.16685386 -0.13511768
  0.0883513   0.04965186  0.01093269  0.1229926   0.04335432 -0.10106368
  0.0231375   0.0120514   0.07986706  0.20630823  0.01015685  0.15002635
 -0.08556309 -0.07976828  0.08236006  0.00597637  0.12307031  0.09891662
  0.02833862  0.03827349  0.032075   -0.06399412 -0.05281743  0.13363233
 -0.02320508  0.10834645 -0.02619225 -0.14848877  0.15464689  0.08710454
 -0.05543585  0.09450705  0.05192706  0.0158296  -0.00622864  0.09507671
  0.12353142 -0.09523999]","[ 0.07451881 -0.04724866  0.02130947 -0.05548793  0.04337037  0.03664793
 -0.08116764 -0.00927487 -0.00570394 -0.06827211  0.08425041 -0.0298072
 -0.06511851  0.02214739  0.00216157  0.10441346 -0.01516448 -0.04067323
 -0.03461494  0.09261155  0.04565099  0.0881355   0.02505812  0.06583358
 -0.02237508 -0.02057825  0.03556243 -0.05067957  0.08130231  0.00402877
  0.08831685  0.02403447  0.00045059 -0.03558603 -0.01465509  0.04058344
  0.0477271   0.17090441  0.11217488 -0.11852381  0.0278735   0.11268782
  0.05382717  0.0749056   0.07164064 -0.08347514  0.04505567  0.1292008
  0.08381283  0.00374424]",both,0.5063206507913378,3.0783644784241915,0.607
