MID,IOS_score,Overlap_score,IOS_group
1,6,NA,HighIOS
2,5,NA,HighIOS
3,2,0.043478260869565216,LowIOS
4,1,NA,LowIOS
5,2,0.25,LowIOS
6,4,NA,Neither
7,5,1.0,HighIOS
8,7,NA,HighIOS
9,1,NA,LowIOS
10,5,1.0,HighIOS
11,2,0.05555555555555555,LowIOS
12,5,NA,HighIOS
13,6,0.0,HighIOS
14,7,NA,HighIOS
15,2,NA,LowIOS
16,1,NA,LowIOS
17,3,0.125,LowIOS
18,5,NA,HighIOS
19,1,NA,LowIOS
20,1,NA,LowIOS
21,1,NA,LowIOS
23,1,NA,LowIOS
24,1,1.0,LowIOS
25,5,NA,HighIOS
26,6,NA,HighIOS
27,1,NA,LowIOS
28,4,NA,Neither
29,7,NA,HighIOS
30,6,NA,HighIOS
31,1,NA,LowIOS
32,3,0.0,LowIOS
33,1,1.0,LowIOS
34,1,NA,LowIOS
35,5,NA,HighIOS
36,7,NA,HighIOS
37,1,NA,LowIOS
38,2,NA,LowIOS
39,4,NA,Neither
40,3,1.0,LowIOS
41,3,0.14285714285714285,LowIOS
44,4,NA,Neither
45,2,NA,LowIOS
46,3,0.06666666666666667,LowIOS
47,1,NA,LowIOS
48,5,0.15,HighIOS
49,1,NA,LowIOS
50,3,0.0,LowIOS
51,1,NA,LowIOS
52,6,NA,HighIOS
53,1,NA,LowIOS
55,4,1.0,Neither
56,7,NA,HighIOS
57,1,1.0,LowIOS
58,6,NA,HighIOS
59,3,1.0,LowIOS
60,6,NA,HighIOS
61,4,NA,Neither
62,1,NA,LowIOS
63,2,1.0,LowIOS
64,5,NA,HighIOS
65,6,NA,HighIOS
66,6,NA,HighIOS
67,1,0.0,LowIOS
68,3,1.0,LowIOS
69,6,0.07692307692307693,HighIOS
70,3,NA,LowIOS
71,6,NA,HighIOS
72,3,0.03225806451612903,LowIOS
73,5,0.09090909090909091,HighIOS
74,7,NA,HighIOS
75,4,1.0,Neither
76,3,0.4444444444444444,LowIOS
77,5,NA,HighIOS
78,2,0.14285714285714285,LowIOS
79,5,1.0,HighIOS
80,1,NA,LowIOS
82,7,0.06451612903225806,HighIOS
84,5,0.0,HighIOS
85,5,0.0,HighIOS
86,2,0.043478260869565216,LowIOS
87,2,0.10344827586206896,LowIOS
89,2,NA,LowIOS
90,1,NA,LowIOS
91,2,0.08620689655172414,LowIOS
92,7,0.0,HighIOS
93,1,0.11764705882352941,LowIOS
94,4,NA,Neither
95,7,0.22972972972972974,HighIOS
97,7,NA,HighIOS
99,2,0.1875,LowIOS
100,3,0.05,LowIOS
101,4,NA,Neither
102,4,NA,Neither
103,7,0.1794871794871795,HighIOS
104,1,0.16666666666666666,LowIOS
105,7,NA,HighIOS
107,4,NA,Neither
108,4,NA,Neither
109,4,NA,Neither
110,2,0.0,LowIOS
112,4,NA,Neither
113,2,0.058823529411764705,LowIOS
114,4,0.0,Neither
115,7,NA,HighIOS
116,4,NA,Neither
117,2,0.4,LowIOS
118,4,1.0,Neither
119,4,1.0,Neither
120,7,NA,HighIOS
121,4,0.09090909090909091,Neither
122,5,NA,HighIOS
123,7,0.16666666666666666,HighIOS
124,7,NA,HighIOS
125,2,NA,LowIOS
126,4,NA,Neither
127,4,0.0,Neither
128,3,1.0,LowIOS
129,2,1.0,LowIOS
130,2,0.0,LowIOS
131,2,0.05263157894736842,LowIOS
132,4,0.3157894736842105,Neither
133,2,NA,LowIOS
134,4,NA,Neither
135,2,1.0,LowIOS
136,2,NA,LowIOS
137,6,0.0967741935483871,HighIOS
138,7,1.0,HighIOS
139,4,NA,Neither
140,3,1.0,LowIOS
141,4,NA,Neither
142,5,0.0,HighIOS
143,7,1.0,HighIOS
144,2,0.11764705882352941,LowIOS
146,3,0.2413793103448276,LowIOS
148,7,1.0,HighIOS
149,2,NA,LowIOS
150,3,1.0,LowIOS
151,7,1.0,HighIOS
152,6,0.0,HighIOS
153,7,0.0,HighIOS
154,5,1.0,HighIOS
155,3,0.6666666666666666,LowIOS
156,3,0.047619047619047616,LowIOS
157,7,0.2222222222222222,HighIOS
158,7,NA,HighIOS
159,3,1.0,LowIOS
160,5,1.0,HighIOS
161,3,NA,LowIOS
162,7,0.5,HighIOS
163,6,0.125,HighIOS
164,3,NA,LowIOS
165,3,1.0,LowIOS
166,3,NA,LowIOS
167,5,NA,HighIOS
168,5,0.5,HighIOS
169,6,NA,HighIOS
170,5,NA,HighIOS
171,5,NA,HighIOS
173,5,0.3333333333333333,HighIOS
175,6,1.0,HighIOS
176,6,0.2857142857142857,HighIOS
177,6,0.0,HighIOS
178,6,1.0,HighIOS
179,6,0.5,HighIOS
180,6,1.0,HighIOS
181,6,NA,HighIOS
