MID,start,end,rt,self_sex,self_age,residence,participation,IOS_score,target_likedislike,target_sex,target_age,relationship,self_tolerance_score,self_pleasantness_score,self_responsibility_score,self_carefulness_score,self_activeness_score,self_sociability_score,target_tolerance_score,target_pleasantness_score,target_responsibility_score,target_carefulness_score,target_activeness_score,target_sociability_score,completion,stratumID
2.0,2024/02/16-12:21:18,2024/02/16-12:24:31,193.0,1.0,45.0,28.0,1.0,5.0,3.0,2.0,7.0,母,3.0,4.0,3.0,4.0,5.0,2.0,6.0,5.0,1.0,4.0,7.0,6.0,COMP,5.0
5.0,2024/02/16-12:23:21,2024/02/16-12:25:38,137.0,1.0,36.0,28.0,1.0,2.0,4.0,2.0,1.0,子供,3.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,6.0,2.0,5.0,3.0,COMP,9.0
7.0,2024/02/16-12:20:52,2024/02/16-12:25:45,293.0,1.0,54.0,12.0,1.0,5.0,1.0,2.0,5.0,妻,2.0,7.0,6.0,3.0,5.0,3.0,1.0,7.0,1.0,6.0,6.0,2.0,COMP,5.0
8.0,2024/02/16-12:24:28,2024/02/16-12:26:11,103.0,1.0,36.0,14.0,1.0,1.0,1.0,2.0,3.0,妻,5.0,5.0,3.0,7.0,3.0,3.0,1.0,7.0,1.0,5.0,4.0,7.0,COMP,1.0
11.0,2024/02/16-12:23:46,2024/02/16-12:26:26,160.0,1.0,56.0,13.0,1.0,2.0,1.0,2.0,4.0,妻,4.0,4.0,2.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,COMP,2.0
13.0,2024/02/16-12:24:34,2024/02/16-12:26:33,119.0,1.0,51.0,13.0,1.0,3.0,3.0,2.0,3.0,パートナー,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,COMP,3.0
24.0,2024/02/16-12:24:20,2024/02/16-12:27:39,199.0,1.0,39.0,28.0,1.0,4.0,3.0,2.0,2.0,つま,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,COMP,4.0
27.0,2024/02/16-12:24:02,2024/02/16-12:27:58,236.0,1.0,53.0,14.0,1.0,1.0,1.0,2.0,5.0,知り合い,7.0,1.0,7.0,7.0,7.0,1.0,1.0,7.0,4.0,4.0,1.0,7.0,COMP,1.0
28.0,2024/02/16-12:26:35,2024/02/16-12:28:00,85.0,1.0,43.0,20.0,1.0,2.0,3.0,1.0,4.0,,6.0,4.0,4.0,6.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,COMP,2.0
30.0,2024/02/16-12:24:30,2024/02/16-12:28:02,212.0,2.0,49.0,13.0,1.0,4.0,1.0,1.0,6.0,夫,1.0,5.0,1.0,2.0,7.0,4.0,1.0,7.0,1.0,7.0,7.0,7.0,COMP,4.0
31.0,2024/02/16-12:24:35,2024/02/16-12:28:05,210.0,1.0,53.0,23.0,1.0,3.0,4.0,2.0,5.0,妻,5.0,4.0,3.0,3.0,7.0,2.0,4.0,6.0,3.0,6.0,3.0,4.0,COMP,10.0
35.0,2024/02/16-12:22:31,2024/02/16-12:28:20,349.0,2.0,33.0,28.0,1.0,4.0,3.0,1.0,3.0,義理の弟,3.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,COMP,4.0
36.0,2024/02/16-12:24:00,2024/02/16-12:28:27,267.0,2.0,50.0,27.0,1.0,1.0,2.0,1.0,5.0,彼氏,5.0,4.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,COMP,1.0
38.0,2024/02/16-12:26:11,2024/02/16-12:28:31,140.0,2.0,37.0,11.0,1.0,4.0,1.0,1.0,3.0,彼氏,1.0,6.0,2.0,7.0,1.0,7.0,1.0,7.0,2.0,7.0,4.0,7.0,COMP,4.0
40.0,2024/02/16-12:23:08,2024/02/16-12:28:38,330.0,1.0,59.0,26.0,1.0,2.0,3.0,2.0,5.0,妻,4.0,4.0,2.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,COMP,2.0
41.0,2024/02/16-12:25:16,2024/02/16-12:28:41,205.0,1.0,46.0,11.0,1.0,1.0,2.0,2.0,7.0,母,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,COMP,1.0
42.0,2024/02/16-12:26:19,2024/02/16-12:28:42,143.0,1.0,46.0,14.0,1.0,3.0,2.0,2.0,4.0,妻,5.0,3.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,COMP,3.0
