MID,rt,self_sex,self_age,target_likedislike,target_sex,IOS_score,IOS_group,Adj_cosine,Adj_euclidean,Adj_manhattan,Verb_cosine,Verb_euclidean,Verb_manhattan,Noun_cosine,Noun_euclidean,Noun_manhattan
2,193.0,1,45,3,2,5,HighIOS,,,,,,,,,
5,137.0,1,36,4,2,2,LowIOS,,,,0.9338511824607849,0.3441390097141266,1.932723825564608,0.8828304409980774,0.4696919918060303,2.609288726001978
7,293.0,1,54,1,2,5,HighIOS,0.48952600359916687,0.779249906539917,4.46590732425102,0.8267404437065125,0.43357664346694946,2.5561126405373216,0.035335540771484375,1.1292848587036133,6.48090650443919
8,103.0,1,36,1,2,1,LowIOS,,,,,,,0.39766013622283936,1.0975791215896606,6.200497071025893
11,160.0,1,56,1,2,2,LowIOS,,,,,,,,,
13,119.0,1,51,3,2,3,LowIOS,,,,,,,,,
27,236.0,1,53,1,2,1,LowIOS,,,,0.84943687915802,0.37887322902679443,2.226377055514604,0.8832606673240662,0.3827609121799469,2.18210705765523
28,85.0,1,43,3,1,2,LowIOS,,,,1.0000001192092896,0.0,0.0,,,
31,210.0,1,53,4,2,3,LowIOS,,,,,,,1.0,0.0,0.0
36,267.0,2,50,2,1,1,LowIOS,0.2102372795343399,1.1960411071777344,6.7272585263999645,,,,0.2982606887817383,1.1846849918365479,7.141793047383544
40,330.0,1,59,3,2,2,LowIOS,,,,0.7957149147987366,0.49686628580093384,2.6973007028573193,,,
41,205.0,1,46,2,2,1,LowIOS,1.0,1.4901161193847656e-08,3.3527612686157227e-08,,,,,,
42,143.0,1,46,2,2,3,LowIOS,,,,,,,,,
44,156.0,1,53,4,2,5,HighIOS,0.6087266802787781,0.7986724972724915,4.50288495013956,0.29374852776527405,1.0059603452682495,5.296038435772061,,,
47,286.0,2,49,1,2,1,LowIOS,0.3437982499599457,0.9098677635192871,5.381318322964944,0.767628014087677,0.5511943697929382,3.33889126079157,0.8685943484306335,0.38493019342422485,2.1283637650776654
51,138.0,2,59,3,1,1,LowIOS,,,,,,,,,
52,196.0,1,52,3,2,5,HighIOS,,,,,,,,,
64,454.0,2,47,2,1,3,LowIOS,0.5808465480804443,0.8232284784317017,4.458152142906329,0.837091326713562,0.371915340423584,2.131162649486214,0.6565839648246765,0.550191342830658,2.9607054378138855
65,207.0,1,53,3,2,7,HighIOS,,,,,,,,,
66,457.0,2,55,2,1,5,HighIOS,0.5571764707565308,0.8004199266433716,4.4008897906169295,0.7514849305152893,0.45728790760040283,2.5851231375709176,0.6222960352897644,0.5661734342575073,3.1155978412134573
73,205.0,1,47,1,1,5,HighIOS,,,,,,,,,
75,131.0,2,49,3,2,2,LowIOS,,,,,,,,,
76,128.0,2,46,1,2,3,LowIOS,,,,,,,,,
78,175.0,2,42,4,1,2,LowIOS,0.7200616002082825,0.5387420654296875,2.8461064400617033,0.6952032446861267,0.5293295979499817,2.867493311990984,0.4800412058830261,0.548655092716217,3.1267195542459376
79,218.0,1,55,2,2,2,LowIOS,,,,0.9149001836776733,0.3307175934314728,1.8816866588313133,,,
