MID,Adj_self,Verb_self,Noun_self,Adj_target,Verb_target,Noun_target
2,[],['回答'],['梨'],[],[],[]
5,[],"['見る', '言う']",['文句'],"['悪い', 'ない']","['見かける', '見る', '言う', '見る', '許す', '反応']","['愛想', '文句']"
7,"['直ぐ', '慎重']","['許す', '聞く', '仕事', 'なる', '落とす', '進める', '飲む', '嫌う']","['人', '道', '休暇', '気', 'たま', '物', '物事']","['直ぐ', '優しい', '真面目', '勤勉', '大人しい', '好き']","['怒る', '許す', 'する']",['インドア']
8,[],[],['かし'],[],[],['ふつう']
11,"['普通', 'ない']","['いう', '守る', '排除', 'する']","['人', '社交', '他者']",[],[],[]
13,[],[],[],[],[],[]
27,[],"['逃げる', '考える', '踏む', '動く', 'する', '触れ合う', '疲れる']","['自分', '他人', '愛想', '二の足', '何', '人']","['ない', '詳しい', '元気']","['話', 'する', '合わせる', '知る', '話す', 'もらえる', '話す', '疲れる']","['自分', '自分', 'そこ', '付き合い']"
28,[],"['知る', '知る']",[],[],"['知る', '知る']",[]
31,[],[],['わり'],[],[],['わり']
36,"['無表情', '真面目', '平気']","['交流', 'する']",['人'],['多い'],[],['付き合い']
40,['慎重'],"['いえる', '感じる', 'ある', '思う']","['何', 'そこそこ', 'かなり', 'これ', '中間', '中間']",[],"['感じる', 'ある', 'かんじる', 'ある']",[]
41,"['普通', '普通', '普通', '普通', '普通']",[],['人並み'],"['普通', '普通', '普通', '普通']","['話す', '話す']",[]
42,['やさしい'],['怒る'],"['人', 'あまり']",[],[],[]
44,['寛容'],"['考える', '行動', 'する', 'チャレンジ']",[],"['寛容', '多い', '明るい']",['ミス'],[]
47,"['正確', '簡単', '難しい', 'ない']","['離れる', 'はなしかける', '知る', '約束', 'まもる', '行動', 'うつす', 'あく', '考える', 'いける', 'つたえる']","['理想', '人', '自分', '自分', '気持ち']","['可愛い', '真面目', 'やさしい']","['考える', '考える', '知る', '話しかける']","['自分', '家族', '笑顔', '天然', '相手', '人', '人']"
51,[],[],[],[],[],[]
52,['普通'],"['立つ', '思う']","['ストレス', '腹']",[],[],[]
