1,2,3
[],['回答'],['梨']
[],"['見る', '言う']",['文句']
"['直ぐ', '慎重']","['許す', '聞く', '仕事', 'なる', '落とす', '進める', '飲む', '嫌う']","['人', '道', '休暇', '気', 'たま', '物', '物事']"
[],[],['かし']
"['普通', 'ない']","['いう', '守る', '排除', 'する']","['人', '社交', '他者']"
[],[],[]
[],"['逃げる', '考える', '踏む', '動く', 'する', '触れ合う', '疲れる']","['自分', '他人', '愛想', '二の足', '何', '人']"
[],"['知る', '知る']",[]
[],[],['わり']
"['無表情', '真面目', '平気']","['交流', 'する']",['人']
['慎重'],"['いえる', '感じる', 'ある', '思う']","['何', 'そこそこ', 'かなり', 'これ', '中間', '中間']"
"['普通', '普通', '普通', '普通', '普通']",[],['人並み']
['やさしい'],['怒る'],"['人', 'あまり']"
['寛容'],"['考える', '行動', 'する', 'チャレンジ']",[]
"['正確', '簡単', '難しい', 'ない']","['離れる', 'はなしかける', '知る', '約束', 'まもる', '行動', 'うつす', 'あく', '考える', 'いける', 'つたえる']","['理想', '人', '自分', '自分', '気持ち']"
[],[],[]
['普通'],"['立つ', '思う']","['ストレス', '腹']"
"['迷惑', '面倒', '多い']","['する', '変える', 'かける', 'する', '生活', 'する', '回避', 'する', '見る', '話しかける', 'する']","['怒り', '態度', '人', '人', 'わり']"
[],[],['愛想']
"['明るい', '不安', '明るい']","['許す', 'こなす', '相談', 'する', 'やる', 'やる', '話せる']","['大抵', '社交', '役割', '家族', '初対面', '人']"
[],[],[]
[],[],[]
['ない'],[],['なん']
"['普通', '多い', '大好き']","['思う', 'なれる', 'やる', '出る', 'する', '話せる']","['最初', '音楽', '人前', '誰', '最初', 'わり']"
[],"['やる', '終了', 'しる', 'しる']",[]
['面倒'],"['やる', 'はやる', '思う', 'やる']",[]
"['激しい', '激しい', '面倒']",['起こす'],"['好き嫌い', '好き嫌い']"
[],"['回答', '回答', '回答', '回答', '回答', '回答']",[]
"['すごい', 'いい', '明るい']","['怒る', '言う', 'やる', '見せる', '信じる']","['文句', '外面', '警察', '手帳', '本物', '物事', '取りえ']"
['低い'],"['負う', 'する', '思い立つ', '行動', 'する', 'ある', '目立つ', 'する']","['沸点', '責任', '人見知り', '人見知り']"
[],['果たす'],['責任']
[],"['する', '赦す', '弁える', '出来る', '努力', 'する']","['悪人', '改', '道理', '好奇']"
"['ない', 'ない', 'かるい', 'ない', 'ない', '少ない']",[],"['そこ', 'そこ', 'そこ', '友達']"
"['誠実', '真面目', '新しい']","['失敗', '許せる', 'ある', '言う', '約束', 'する', '守る', '考える', '発言', 'する', '間違える', 'ある', 'やる', '話す', 'する', '飲む', '行く', '誘う']","['人', '遊び']"
[],['怒る'],['あまり']
[],[],[]
[],[],['臆病']
"['ない', 'ない', 'ない', 'ない', 'ない']","['回答', '回答', '仕事', '遅刻', 'する', '回答', '回答', '回答']",[]
"['細かい', 'ダメ']","['くる', 'なる', '傷つける', 'ある', '引き受ける', 'やり遂げる', 'まう', 'やる', '考える', 'やる', '誘える']","['人', '言動', '何', '自分']"
['良い'],[],"['自己', '人当たり']"
[],"['許す', 'ある', 'やり遂げる']","['内心', '最後']"
['余計'],"['思う', '見える', 'しれる', '変わる', '起こる', 'わかる', 'する']","['自分', '他人', '場', '状況', '何']"
"['しつこい', 'くどい']",[],[]
['苦手'],[],['小心']
"['普通', '普通', '新しい', '好き', 'ポジティブ']","['思う', '思う', '与える', '成し遂げる', 'たまる', '買う', '挑戦', 'する', 'とれる', 'なれる']","['お金', '物', '誰']"
[],"['怒る', 'ある', 'かぶる', '嫌う', '嫌う', '拘る', 'こだわる']","['猫', '人', '半々']"
[],[],[]
"['やさしい', '迷惑', 'ない', '好き']","['怒る', '振る舞う', '仕事', 'かける', '追求', 'する', '行動']","['誰', '基本', '最後', '誰', 'どちら']"
[],[],[]
['寛容'],"['かんがえる', 'かんがえる']",[]
['ない'],['回答'],[]
"['不思議', 'ない']","['尋ねる', '衝動', 'する', '譲る', '営業', 'する']","['人', '道', '場面', '人']"
[],['なる'],"['心', '広子', '人見知り']"
[],[],[]
"['正しい', '下手']","['許す', 'できる', '感じる', '接す', '叩く', '渡る', '関わる', 'する']","['他者', '礼儀', '人', '責任', '石橋', 'タイプ', '他人', '人']"
