1,2,3
[],[],[]
"['悪い', 'ない']","['見かける', '見る', '言う', '見る', '許す', '反応']","['愛想', '文句']"
"['直ぐ', '優しい', '真面目', '勤勉', '大人しい', '好き']","['怒る', '許す', 'する']",['インドア']
[],[],['ふつう']
[],[],[]
[],[],[]
"['ない', '詳しい', '元気']","['話', 'する', '合わせる', '知る', '話す', 'もらえる', '話す', '疲れる']","['自分', '自分', 'そこ', '付き合い']"
[],"['知る', '知る']",[]
[],[],['わり']
['多い'],[],['付き合い']
[],"['感じる', 'ある', 'かんじる', 'ある']",[]
"['普通', '普通', '普通', '普通']","['話す', '話す']",[]
[],[],[]
"['寛容', '多い', '明るい']",['ミス'],[]
"['可愛い', '真面目', 'やさしい']","['考える', '考える', '知る', '話しかける']","['自分', '家族', '笑顔', '天然', '相手', '人', '人']"
[],[],[]
[],[],[]
"['よい', '少い']","['怒る', '仕事', '考える', '行動', 'する', '話しかける', 'する']","['あまり', '愛想', '取り組み', '自分']"
[],[],[]
"['自由', '穏やか', '穏やか']","['する', 'たつ', '考える', '行動', 'する', '実行', 'する', '打ち解ける']","['人当たり', '矢面', '誰']"
['邪険'],"['疲れる', '話しかける', 'する', '近付く', 'みる']","['人物', '疑い', '目']"
[],[],[]
[],[],[]
"['普通', '非常', '胡散臭い', '暗い']","['否定', 'する', 'しれる', '叩く', '割る']","['世間', '一般', '家族', '嘘つき', '石橋', 'タイプ', '根']"
['しつこい'],"['しる', 'やる']",['いつ']
[],[],[]
[],[],[]
[],"['回答', '回答', '回答', '回答', '回答', '回答']",[]
"['おろそか', '静か', '物静か']","['言う', 'する', 'たたく', '壊す', '落ち着く']","['専業', '主婦', '家事', '文句', '人', '最高', '石橋', 'タイプ']"
[],"['感じる', '接す', '決める', 'する', 'ある']","['誰', '思いつき']"
"['いや', '良い', 'よい', '多い']","['仕事', '引き受ける', '仕事', 'する', '仕事', 'する']","['笑顔', '町内', '知り合い']"
[],[],[]
"['よい', '良い', 'よい', '多い']","['変わる', '結婚', 'する']","['げん', '愛想', '調子', 'つきあい', '友達']"
"['明るい', 'おもしろい', 'ない', '上手', '上手']","['する', '発言', 'する', '酔う', '失敗', 'する', '誘う', 'なる']","['大', '気', '責任', '女好き', '人']"
['いい加減'],"['嫌う', 'なれる']",[]
['好き'],['できる'],"['初対面', '人']"
[],[],[]
"['ない', 'ない', 'ない', 'ない', 'ない']","['回答', '回答', '回答', '回答', '話', 'かける', 'できる', '回答']",['誰']
"['細かい', '凄い', 'いい', '無い', '軽い']","['なる', '放置', 'する', '動く', '話せる']","['気', '人当たり', '自分', '自分', '誰']"
['軽い'],"['妥協', 'する']",['考え']
['よい'],['こだわる'],"['いつ', '感じ', '社交']"
"['勝手', 'ない', 'ない', 'ない', 'ない']","['妄想', '考える', '妄想', '思う', '妄想', '答える', '妄想', '答える', '考える', '妄想', '答える']",['そこ']
"['くどい', 'しつこい']",[],[]
[],[],[]
"['普通', '良い', '新しい', '苦手']","['思う', '頼む', '断る', '入る', '話す']","['人当たり', '環境', '人前']"
"['いい', '広い', 'よい', '狭い', 'いい', '念入り']","['わかる', '調べる', '言う', 'いる']","['私', '感じ', '人', '他人', '何', '自分', '人', '友達']"
['多い'],[],['友達']
"['慎重', '狭い', 'いい', '多い']","['する', '仕事', 'みる', '参戦', 'する']","['愛想', '女性', '基本', 'ライブ', '聞き役']"
['無い'],[],[]
"['やさしい', '色々']","['ニコニコ', 'する', '考える', 'する', 'する']",[]
[],"['怒る', 'なる']",['誰']
[],"['接客', 'する']",[]
[],[],[]
[],[],['かし']
"['ない', '必要', 'いい']","['思う', '経営', 'する', 'ある', '付く', '離れる', '接客', '仕事']","['私', '関心', '最低限', '付き合い', '節度', '感じ', '人当たり']"
"['ない', '広い', '悪い', 'ない', '多い', '良い']","['ある', '思う', 'やり遂げる', '持つ', '言える', '評価', 'なる', '言える', '回答', 'なる']","['私', 'こころ', '感じ', '別', '責任', 'これ', 'どちら', '自己', 'どちら', '友人', '人当たり']"
[],[],[]
['優しい'],"['ある', '話し合い', '取る', '経営', '経営']",['何']
"['よい', '強い', '軽率', 'ない', 'ない', 'よい']","['思う', '思う']","['大', '性格', '人当たり', '責任', 'タイプ', 'どちら', '人当たり']"
[],"['考える', '疲れる', '経験', '不足']","['思いつき', '物事', '社会']"
"['失礼', '広い', '鈍感', '穏やか', 'ない', '古い']","['言う', '受け止める', 'いう', 'しれる', '乗る', 'ある', '思える', '連絡', '取る', '会う', 'する']","['心', '人', '人', 'だて', 'どちら', '言動', '友達', '自分']"
['良い'],"['許す', '感じる']","['方面', '割', '対外']"
['頼り'],"['怒る', 'よる', 'なる', '考える', '行動', 'する', '行動', 'ある']","['あまり', '相手', '立場', '何事']"
[],"['する', '許す', '接客', '向く', '困る', 'する', '言える', '変わる', '誘う', 'する']","['何', '人', 'どちら', '自分', '人']"
[],[],[]
[],"['話', '聞く', 'いう', '考える', 'なる']","['物事', '誰']"
[],"['あう', 'かく']",[]
"['寛大', '普通', '多い']","['約束', '破る', '思う', '行動', 'する']","['人見知り', '自分', '友人']"
[],[],[]
['ない'],[],[]
"['寛容', '軽率', 'ない', '積極', 'ない']",['ある'],"['他', '評判', '何事', '責任', '何事', '社交']"
"['大丈夫', '清楚', '清楚', '真面目']","['遊ぶ', 'いる', 'する']","['お互い様', '見た目', '美人', '子供', '人妻', '僕', '社交']"
['無い'],"['なる', '確立', 'する', '負担', '付き合う', 'する']","['年代', '人生']"
[],[],['短気']
"['滅多', 'ない', 'いい', '真面目', 'ない', 'いい']","['怒る', 'ニコニコ', 'する', '思う', '思う']","['感じ', 'フラット', '感じ', '人', 'どちら', '人当たり']"
"['いい', '大人しい', 'ない']",[],"['ひと', '世間', '自信']"
"['いけ好かない', '忙しい', 'よい']","['仕事', '自慢', '取り入る']","['他人', '外面']"
"['完璧', 'ネガティブ', 'ネガティブ', '多い']","['受け入れる', '頼む', 'やり遂げる', 'ある', 'かかる', 'ある', '話す']","['世間', '自分', '火の粉', '性格', '引っ込み思案', '性格', '俺', '言葉']"
"['穏やか', '慎重']",[],['愛想']
"['素敵', 'ない', '慎重']","['いる', '入力', '付き合う', '来る']","['自分', '中心', '笑顔', '収入', '個人', '情報', '日本', 'インドア', 'タイプ']"
"['ない', 'ない']",[],"['可', '不可']"
"['普通', '普通', '苦手']",['喧嘩'],"['兄弟', '人見知り', '人付き合い']"
"['強い', '深い']","['理解', 'する', '受け入れる', 'なれる', '決める', 'やる', '通す', 'ある', '掘り下げる', '考える', 'できる', '行動', 'する', 'なれる']","['自分', '誰', 'タイプ', '最後', '芯', '物事', '誰']"
[],"['比べる', '比べる', '比べる', '比べる', '比べる']","['私', '私', '私', '私', '私']"
"['ない', '悪い', 'いい', 'おとなしい']","['失敗', 'する', 'する', '怒る', 'する', 'ある', '旅行', '行く', 'する', '飲む', '飲む', '思う', '喋る', '聞く', '答える']","['自分', '何', '言い方', '感じ', '家族', '車', '次', '気', '酒', '晩', '基本', '受け身', '自分', '親', '私', '親', '自分', '何']"
"['好き', 'いろいろ', 'いい']","['世話', 'ひく', 'する', '対応', 'する', 'わる', '気づく', 'やる']","['風邪', 'マスク', '体', '労', '人付き合い']"
"['ない', 'いい', 'ない', 'ない', 'アクティブ']",['いう'],"['やつ', '不可']"
['明るい'],['打ち解ける'],"['誰', '性格']"
"['おしい', 'ない', 'ない', 'ない', '無理']","['切れる', 'うつ', '見下す']","['汚点', 'なし']"
[],"['回答', 'する']",[]
"['寛容', '良い']",['する'],"['私', '人当たり']"
[],[],[]
"['面白い', '大好き', 'うまい']","['許す', '料理']","['嘘', '美人', '近所', '付き合い']"
[],[],[]
"['良い', '軽率', 'ない', 'ない']","['躊躇', 'する', '困る', '貸す', '援助', 'する', 'ある', '経営', 'ある', 'ある', '全う', 'する', '見る', '考える', '行動', 'する', '経営', '取り引き', '従業', 'とる']","['人', '手', '金銭', '対外', '人当たり', '夫', '親', '責任', '立場', '立場', '振る舞い', 'ベスト', '立場', 'コミュニケーション', 'プライベート', '社交', 'タイプ']"
['多い'],"['笑う', '立つ', '果たす']","['人前', '役割', '友達']"
"['弱い', '完全', 'かわいらしい', '生', '危ない', '元気']","['ある', 'オープン', 'できる', 'お話し', 'ある', '活動', '果たす', 'なる', 'ある', 'する', 'しゃべる']","['自分', '自身', '部分', '心', '真面目', '思いやり', '役割', '誰', '子', '年齢', '性別', '誰', '子']"
